web-scraper-order,web-scraper-start-url,pages,pages-href,titulo,titulo-href,empresa,descripcion
"1605305500-2043","https://mx.indeed.com/trabajo?q=data+analyst&l=M%C3%A9xico&fromage=14","7","https://mx.indeed.com/jobs?q=data+analyst&l=M%C3%A9xico&fromage=14&start=60","Financial Analyst B","https://mx.indeed.com/rc/clk?jk=c5440bcf0a76415e&fccid=3b89b9ec324f96c8&vjs=3","Siemens","Publicada 04 de noviembre de 2020

Financial Analyst B

Siemens

Mexico City, CDMX, México Full Time

Contabilidad Y Finanzas

Escolaridad

Licenciatura terminada

Experiencia

1-3 años

Nivel del puesto

Analyst

Job Description



Change the future with us.



We are looking for dedicated and talented people who tackle ever-changing challenges, customer needs, and questions from colleagues with clever concepts and creativity. We embrace change and work with curious minds re-inventing the future of work. Join us and let us focus together on what’s truly important: making lives better with new ideas and the latest technology around the world.



Siemens is committed to creating a diverse environment and is proud to be an equal opportunity employer.



About the role:

Support Function Controlling activities at Siemens Mexico. This includes discussions of financial analysis, including cost recovery (ISA´s), forecast & budgeting, cost analysis and financial and expense performance comparisons. Drives accurate financial reporting, charging, ad-hoc reporting, etc. Demonstrates and applies comprehensive knowledge of the various modalities, while developing strategies for dealing with complex models and pursuing cost efficient opportunities.



Qualifications:

Bachelor´s Degree in Finance, Accounting or Economics areas



English Advanced



Basic Knowledge in ERP SAP



1 year of experience in similar role



How to apply?

We are looking forward to receiving your online application. Please ensure you complete all areas, of the application form, to the best of your ability as we will use this data to review your suitability for the role."
"1605307170-2172","https://mx.indeed.com/trabajo?q=data+analyst&l=M%C3%A9xico&fromage=14","2","https://mx.indeed.com/jobs?q=data+analyst&l=M%C3%A9xico&fromage=14&start=10","Business Operations Analyst","https://mx.indeed.com/rc/clk?jk=ab0752cbc048f358&fccid=dfc44f3b8c44a6db&vjs=3","Cisco Systems","Business Operations Analyst, CX Strategy, Partner & Operations



What You’ll Do Are you interested in helping drive Cisco’s transformation to software subscription and recurring revenue? CX Strategy, Partner and Operations (SPO) team is critical to this ambitious journey, and we’re looking for an organized, talented, results-oriented team player to join our high-performing team as a business analyst.

In this dynamic and fast-paced role, your responsibilities will include the following:


Provide business operations support for Strategy, Partner & Operations teams projects and initiatives
Design, implement and streamline processes to overcome bottlenecks and improve operational efficiency within the organization
Analyze data and document recommendations for process development and/or improvement.

Who You Are


You can analyze complex issues in a global environment and demonstrate success in developing/managing management reports and processes to collect and maintain business data
You can drive small projects – scoping, working with stakeholders, communication and execution
You have direct experience with business-oriented data analysis and data management.
You are a solid team player, demonstrating the ability to lead and/or collaborate effectively.
You have a passion for growing your business acumen and learning new things.

Job Requirements:

3+ years of experience with analyzing data

Excel, smartsheet, other tracking and analysis tool expertise

Strong analytical and communication skills. Quick learner and ability to work with cross functional teams with ease.

Positive attitude, willingness to learn and grow, detail oriented, adaptable to a fast-paced, changing environment.

Experience in field services or delivery processes, understanding of Cisco Services, familiar with processes, tools, methods preferred"
"1605305859-2058","https://mx.indeed.com/trabajo?q=data+analyst&l=M%C3%A9xico&fromage=14","9","https://mx.indeed.com/jobs?q=data+analyst&l=M%C3%A9xico&fromage=14&start=80","Compliance Assurance Sr Analyst","https://mx.indeed.com/rc/clk?jk=9815b08a82acf668&fccid=ed01256a08c151a4&vjs=3","Citibanamex","Publicada 13 de noviembre de 2020

Compliance Assurance Sr Analyst

Citibanamex

Mexico City, CDMX, México Full Time

Compliance/legal

Escolaridad

Licenciatura terminada

Nivel del puesto

Senior Analyst



Serves as a senior compliance risk analyst on AML, Sanctions and AB for Independent Compliance Risk Management (ICRM)’s Assurance team responsible for assessing compliance risks and controls implemented by the first and second line of defense. Also responsible for performing independent assurance activities (testing and on-going monitoring) to assess the design and effectiveness of key controls designed to address compliance risk; reporting and escalating control issues and any violations of laws or breaches of policy; and validating adequacy of remediation taken to address reported issues.



Responsibilities:

Developing, implementing, and executing compliance testing, continuous assurance, and reporting programs within an assigned region in accordance with the NAM Compliance Assurance (CA) AML, Sanctions and AB Plan.

Participating in the planning, executing, and reporting of compliance assurance reviews and compliance and regulatory issue validation activities for a component of a product line, function, or legal entity within the NAM region in accordance with ICRM CA AML, Sanctions and AB Plan.

Executing compliance controls testing, transactional testing, or compliance controls monitoring activities based on the pre-defined testing plan.

Documenting findings and report to the Compliance Assurance management team.

Assisting with development of Compliance Assurance Reviews, Continuous Testing, Monitoring and development and enhancement of the Compliance Assurance and Internal Audit Methodologies and Standards for auditing, testing, monitoring, and reporting.

Utilizing innovative compliance testing solutions including Data Analytics to increase value and reduce costs of compliance-related activities.

Developing effective relationships within the the CA function and with other stakeholders, including business and technology process owners, and Internal Audit function.

Promoting knowledge sharing and promulgation of best practices across ICRM and the business.

Monitoring the risk environment and assessing emerging risks through the Business Monitoring process.

Informing CA management of significant compliance matters that require their attention or action.

Additional duties as assigned.



Qualifications:

Knowledge of Compliance laws, rules, regulations, risks and typologies

Experience with auditing principles including audit planning, risk assessments, development of risks and controls matrices, processes and controls design assessments, controls operating effectiveness testing, transactional testing, and reporting activities.

Experience in planning, executing, and reporting on compliance testing reviews and regulatory issue validation activities

Global compliance and audit related experience, and strong knowledge of business processes.

Exhibit project management, interpersonal, sound decision making, analytical and intuitive thinking skills.

Understanding of rules, laws, and regulations, and specific regulatory requirements.

Strong interpersonal skills for building strong relationships with stakeholders and engaging teams.

Effectiveness in working within a large scale and complex matrix organization is essential.

Excellent oral communication and writing skills in interacting with non-executives and executive management and across a number of business lines and control functions.

Recommends appropriate and pragmatic solutions to risk and control issues.

Applies knowledge of key regulations to influence audit scope.

Develops effective line management relationships to ensure strong understanding of the business.

Must be a self-starter, flexible, innovative and adaptive

Work collaboratively with regional and global partners in other functional units; ability to navigate a complex organization

Proficient in MS Office applications (Excel, Word, PowerPoint)

Knowledge in area of focus



Education:

Bachelor’s degree; experience in compliance, legal or other control-related function in the financial services firm, regulatory organization, or legal/consulting firm, or a combination thereof; experience in area of focus; Advanced degree certification or commission from a financial regulatory bodya plus.

CONOCIMIENTOS EN INTERNAL AUDIT

INGLES AVANZADO

CONOCIMIENTO EN AML

CONOCIMIENTO EN SANCIONES

C12 PRH"
"1605307187-2173","https://mx.indeed.com/trabajo?q=data+analyst&l=M%C3%A9xico&fromage=14","2","https://mx.indeed.com/jobs?q=data+analyst&l=M%C3%A9xico&fromage=14&start=10","Excel Expert - Business Analyst","https://mx.indeed.com/rc/clk?jk=5e779f182c5a9312&fccid=b60c9324aeb7df96&vjs=3","Rackspace","Our Global Data Office is looking for a mid level Business Operations Analyst; in this position you'll be in charge of conducting extensive, accurate analyses of the organization's existing business operations. Your main duties will include gathering data and developing solutions that meet the business needs. You'll perform gap analysis, support data collection, and gather documentation, while analyzing cross-departmental business processes for efficiency.



This position must follow strict company procedures and report their progress to the business operations supervisor in their department. Business operations analysts also assist with business development tasks as needed and participate in company meetings, sharing their ideas to improve the current business model and increase profitability. They also ensure that key assignments are completed on schedule and that status reports are turned in on time.

Responsibilities;
Identify user needs from user requests and develop strategies by which to meet those needs.
Critically evaluate information from multiple sources and clearly indicate quality of final analysis.
Communicate complex data in comprehensible ways.
Determine, implement, and evaluate business metrics to meet ongoing organizational or customer information needs.
Analyze and report on complex data to meet customer needs.
Support multi-regional requests.
Determine standards for data sharing.
POC for customer related requests.


Must Have
Advance Excel knowledge
Advance Visual Basic knowledge
+3 years of Business Analyst



Nice to Have
SQL Data Bases basic to mid level knowledge (Design, structures, handlers, etc.).
Data visualization tools (Qlik Sense, Qlikview, Tableu, etc.) intermediate knowledge:
Data connections
Object build
QVD's
DASHBOARD creation and management



About Rackspace Technology
We are the multicloud solutions experts. We combine our expertise with the world’s leading technologies — across applications, data and security — to deliver end-to-end solutions. We have a proven record of advising customers based on their business challenges, designing solutions that scale, building and managing those solutions, and optimizing returns into the future. Named a best place to work, year after year according to Fortune, Forbes and Glassdoor, we attract and develop world-class talent. Join us on our mission to embrace technology, empower customers and deliver the future.



More on Rackspace Technology
Though we’re all different, Rackers thrive through our connection to a central goal: to be a valued member of a winning team on an inspiring mission. We bring our whole selves to work every day. And we embrace the notion that unique perspectives fuel innovation and enable us to best serve our customers and communities around the globe. We welcome you to apply today and want you to know that we are committed to offering equal employment opportunity without regard to age, color, disability, gender reassignment or identity or expression, genetic information, marital or civil partner status, pregnancy or maternity status, military or veteran status, nationality, ethnic or national origin, race, religion or belief, sexual orientation, or any legally protected characteristic. If you have a disability or special need that requires accommodation, please let us know."
"1605306109-2077","https://mx.indeed.com/trabajo?q=data+analyst&l=M%C3%A9xico&fromage=14","12","https://mx.indeed.com/jobs?q=data+analyst&l=M%C3%A9xico&fromage=14&start=110","Compl Bus Control Sr Analyst (Issue Management Officer)","https://mx.indeed.com/rc/clk?jk=11988a618afd0bfa&fccid=5bcd1ef0a7f4fb99&vjs=3","Citi","The Transaction Svs Manager is an intermediate management level position responsible for leading and supervising a medium sized unit of support employees, in coordination with the Transaction Capture team. The overall objective of this role is to improve processes, interpret data, prepare reports, and minimize bank risk through ensuring adherence to audit and control policies.



Responsibilities:
Manage the mandatory CFTC Initial Margin Segregation control process to ensure Citi is compliant
Manage and lead multiple strategic departments, industry and regulatory initiatives and projects relating to OTC Margin
Oversee the intercompany margining process to support mandatory exchange of variation margin between Citi affiliates
Provide collateral query support to Business, Credit, Treasury and Legal teams, to reduce risk exposure for the firm
Oversee remote teams that support interest processing
Review and approve large value collateral movements and ensure accuracy of entries and participate in internal/external audit reviews
Approve the release of collateral, monitor collateral balance breaks and fails and track movements in mark to market on open positions
Ensure the team is properly trained and team members are settling interest in a timely manner
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency, as well as effectively supervise the activity of others and create accountability with those who fail to maintain these standards.
Qualifications:
5-8 years of experience in a related role
Demonstrated project management skills
Ability to work under pressure and manage to deadlines
Ability to work in a fast-paced environment
Consistently demonstrates clear and concise written and verbal communication
Attention to detail and intermediate problem solving skills
Education:
Bachelor’s degree/University degree or equivalent experience
Drive closure of issues using project management methodology.
Develops a project plan per issue, ensuring milestone activities are captured for every CAP, a critical path to resolve the issue is outlined, and a responsible to execute each task in the plan is identified.
Tracks on issue performance using project management methodology, ensuring issues with technological dependencies are funded and prioritized in Technology’s book of work.
Promptly escalates delays and deviations to critical path baseline.
Manages administrative tasks to ensure proper issue documentation and maintenance in GRC, including impact mapping in MCA.
Understanding and use of Project Management Methodology and tools.
Capacity to develop a presentation (ppt) to senior audience.
Negotiation and influence prefer talent for the problem.
Educación:
Entendimiento del idioma ingles: Leer (80%) / Escribir (80%) / Hablar (80%)
Preferente: Conocimiento y/experiencia en productos de pagos y Cobranza
-
Job Family Group:
Operations - Transaction Services
-
Job Family:
Transaction Capture Services
-
Time Type:
Full time
-
Citi is an equal opportunity and affirmative action employer.
Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.
View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.
View the EEO Policy Statement.
View the Pay Transparency Posting"
"1605307007-2157","https://mx.indeed.com/trabajo?q=data+analyst&l=M%C3%A9xico&fromage=14","2","https://mx.indeed.com/jobs?q=data+analyst&l=M%C3%A9xico&fromage=14&start=10","FP&A Sr Analyst - Data Analytics.","https://mx.indeed.com/rc/clk?jk=939b4bebe5d06437&fccid=5bcd1ef0a7f4fb99&vjs=3","Citi","The Financial Planning and Analysis Senior Analyst is an intermediate level position responsible for providing management with an analysis and insight of Citi’s financial results in coordination with the broader Finance team. The overall objective is to utilize in-depth disciplinary knowledge to generate and analyze reports as well as contribute to the development of new techniques to improve processes and work-flow.



Responsibilities:
Address strategic issues on an ad hoc basis that are complementary to the regular planning and analysis processes
Contribute to Quarterly Competitor Reviews, Quarterly Annotated Supplement, and Quarterly Investment Reports
Generate flash results/highlights for Board of Directors’ reports and Executive Management reports
Develop/coordinate processes (e.g. the annual planning and periodic forecasting processes) and review results against plans monthly including business analysis functions performed by Business Unit Managers (BUMs)
Participate in annual budget CCAR PPNR forecasts, 3-year strategic and operating plans and monthly estimate outlook process
Oversee the estimation of risk capital and incorporate results into management report metrics for decision processes
Analyze key management review presentations for individual Regions and Products
Execute time critical activities for client facing Financial Planning and Analysis teams
Contribute to the development of review material for internal leadership and external regulator reviews
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.


Qualifications:
At least 4 years for experience (desirable) in Financial Planning, P&L, Forecast
Knowledge in BI Tools, tableau, Pyton, SAS
Data analytics.
Demonstrated presentation skills and analytical skills.
Consistently demonstrates clear and concise written and verbal communication skills
English: Advanced


Education:
Bachelor’s degree/University degree or equivalent experience
-
Job Family Group:
Finance
-
Job Family:
Financial Planning & Analysis
-
Time Type:
Full time
-
Citi is an equal opportunity and affirmative action employer.
Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.
View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.
View the EEO Policy Statement.
View the Pay Transparency Posting"
"1605305473-2040","https://mx.indeed.com/trabajo?q=data+analyst&l=M%C3%A9xico&fromage=14","7","https://mx.indeed.com/jobs?q=data+analyst&l=M%C3%A9xico&fromage=14&start=60","GBS People Services- IAM Operations Analyst (Level 6)","https://mx.indeed.com/rc/clk?jk=446f9176daa745b0&fccid=116680a29a847a70&vjs=3","General Motors","About GM
There’s never been a more exciting time to work for General Motors.




To achieve our vision of a world with Zero Crashes, Zero Emissions and Zero Congestion, we need people to join us who are passionate about creating safer, better and more sustainable ways for people to get around. This bold vision won’t happen overnight, but just as we transformed how the world moved in the last century, we are committed to transforming how we move today and in the future.
Why Work for Us
Our culture is focused on building inclusive teams, where differences and unique perspectives are embraced so you can contribute to your fullest potential as you pursue your career. Our locations feature a variety of work environments, including open work spaces and virtual connection platforms to inspire productivity and flexible collaboration. And we are proud to support our employees volunteer interests, and make it a priority to join together in efforts that give back to our communities.
Job Description
You will lead aspects of transformation and operations, at the business unit level and globally. You work largely within existing partnerships and networks to deliver pre-defined business objectives, while formally managing a team. Your role may also require working within an influence model.
Additional Job Description
Frequent contact with others outside the work group - Including end-users
Engage with customers in a professional and courteous manner
Diagnose identity application problems to establish root cause and drive to resolve customer issues
Utilize all data systems and knowledge bases for resolution of problems, including 3rd Party Vendors, IT Support, Business Owners, Data Quality, etc.
Complete all backend paperwork and issue logging in a timely manner
Work involves accuracy and ability to make decisions within the limits of general policies and procedures. Significant independent judgment is used
Report any unresolved issues to leadership for further escalation/resolution
GBS IAM Identity Lifecycle Operations Critical Skillsets:
Excellent problem solving skills
High level analytical ability where problems are unusual and complex
Ability to manage numerous tasks simultaneously and follow through to completion
Ability to work at a detailed level while maintaining an overall perspective
Customer Focused and detail oriented
Good organizational and time management skills
Effective written and verbal English communication skills
Proficient in Microsoft Office products, Excel, Word, Outlook, OneNote, SharePoint
Required Qualifications:
Demonstrated technical and professional skills in job-related areas
Ability to manage numerous tasks simultaneously
Bachelor’s degree in technology, engineering, human resources or related discipline or equivalent experience
Call Center work experience
Preferred Qualifications:
Demonstrated technical and professional skills in identity and access management (IAM) systems and related areas
Demonstrates initiative by reaching beyond work assigned to improve output and/or help others
Proven ability in project management skills and ability to teach others
Demonstrated ability to manage multiple and significantly complex tasks and assignments with high level of autonomy and accountability for results
Exceptional interpersonal/team building skills including the ability to communicate with all levels of the organization, outside suppliers, and participate on multi-functional teams
Excellent at building relationships with team members and customers to solve problems and resolve issues
Experience on data analysis & quality customer experience
Diversity Information
General Motors is committed to being a workplace that is not only free of discrimination, but one that genuinely fosters inclusion and belonging. We strongly believe that workforce diversity creates an environment in which our employees can thrive and develop better products for our customers. We understand and embrace the variety through which people gain experiences whether through professional, personal, educational, or volunteer opportunities.
We encourage interested candidates to review the key responsibilities and qualifications and apply for any positions that match your skills and capabilities."
"1605305947-2061","https://mx.indeed.com/trabajo?q=data+analyst&l=M%C3%A9xico&fromage=14","9","https://mx.indeed.com/jobs?q=data+analyst&l=M%C3%A9xico&fromage=14&start=80","Continuous Improvement Specialist","https://mx.indeed.com/rc/clk?jk=525b039801a8868d&fccid=dacddaa4d49537d8&vjs=3","Johnson Controls","CI Specialist


What will you do?


The CI Specialist for the HRSSC is responsible for identifying key process improvement opportunities and supporting the transformation of high quality, process execution throughout the HRSSC organization. This role provides support to functional areas to instill a Continuous Improvement culture throughout the HRSSC by educating in CI tools, Lean Manufacturing and Six Sigma methodologies. This role works closely with functional areas to implement and deliver improvements in process performance and is responsible of managing the Innovation program for the HRSSC. In addition, this role is responsible to administer the new service in-take process by coordinating HRSSC functional areas and serving as a liaison with customers from the analysis and acceptance to the transition of the new service into HRSSC’s operation. Support HRSSC teams in the identification of automation opportunities and supervises the work of the Automation analyst.


How will you do it?
Identifies key process improvement opportunities and supports the transformation of high quality, process execution throughout the HRSSC organization.
Identifies and leads implementation of improved processes, services, through projects according to business needs.
Works with functional area leaders to drive overall improvements for the front end and back office operations.
Act as a change agent to improve existing processes. Can engage in driving local programs on various efforts aligned to culture and engagement.
Develop and implement processes to facilitate organization changes and support with appropriate change management processes
Provides reports to HRSSC Leadership on project status and key deliverables.
Trains HRSSC members on Continuous Improvement, Six Sigma and Lean Manufacturing tools and methodology.
Innovation program coordination (reports, guides and documents)
Coordinates transition of services from HR Solutions or CoEs to HRSSC service portfolio
Supports automation initiatives and supervises role dedicated to simple automations in preparation for RPA initiatives
Training of yellow and green belt to HRSSC.

People & HR Activities


Manages the day to day operations and inquiries of the direct report. Ensure all hiring, performance reviews and performance management issues are addressed, in accordance with HR practices and procedures.
Manages the workforce planning needs and career development for team members.
Manages actively team members’ work volume and investigates inefficiencies.
Builds a climate that energizes team members, fosters employee engagement and drives accountability.
Assists with recruitment, hiring and retaining HRSSC staff.
Develops and implement improvement plans for those employees who are not performing up to the expectations and administer discipline actions when appropriate.



What we look for?
Bachelor’s Degree in Engineering, IT, Administration or related field required.
5 years of managerial experience in Continuous Improvement roles required, experience within HR Service Center desired.
Previous experience leading Continuous Improvement/Lean Initiatives is required. Green Belt Certification required.
Proven ability to manage multiple projects simultaneously.
Strong process orientation; demonstrated experience in planning and execution
Advanced Excel skills. (Dynamic tables, macros, etc.)
High Analytical and Problem-Solving skills.
Able to handle large amount of data in excel or other data base program.
High English Proficiency (written and spoken), capable of delivering presentations in English.
Oral and written communication skills.
Ability to understand and develop successfully partnerships with customers and peers.
Detail oriented.
High Customer Service orientation


Professional knowledge:
 Advance knowledge of basic CI Skills, 5S, Kaizen and other CI related training
Green Belt certification required.
Related experience in transactional processes.
Experience implementing Process automation (Robotic system)
Training others in CI methodologies


Johnson Controls does not request pregnancy or HIV testing as a requirement for admission, permanence or promotion."
"1605306368-2103","https://mx.indeed.com/trabajo?q=data+analyst&l=M%C3%A9xico&fromage=14","8","https://mx.indeed.com/jobs?q=data+analyst&l=M%C3%A9xico&fromage=14&start=70","Analista de Apoyo de Ventas 2","https://mx.indeed.com/rc/clk?jk=666f31cd1d1ee7c8&fccid=5bcd1ef0a7f4fb99&vjs=3","Citi","The Sales Support Analyst 2 is a developing professional role. Applies specialty area knowledge in monitoring, assessing, analyzing and/or evaluating processes and data. Identifies policy gaps and formulates policies. Interprets data and makes recommendations. Researches and interprets factual information. Identifies inconsistencies in data or results, defines business issues and formulates recommendations on policies, procedures or practices. Integrates established disciplinary knowledge within own specialty area with basic understanding of related industry practices. Good understanding of how the team interacts with others in accomplishing the objectives of the area. Develops working knowledge of industry practices and standards. Limited but direct impact on the business through the quality of the tasks/services provided. Impact of the job holder is restricted to own team.



Responsibilities:
Provide day-to-day client servicing, handle and provide timely resolution to client issues.
Validates client data and documentation in relevant systems.
Takes the lead to coordinate and follow-up across internal departments to solve client needs.
Provides feedback to client related to emerging product needs, competitive practice and ideas on process/product improvement.
Analyzes client data and provides reporting as needed.
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.


Qualifications:
0-2 years relevant experience


Education:
Bachelors degree

This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.
-
Job Family Group:
Commercial and Business Sales
-
Job Family:
Commercial Sales Support
-
Time Type:
Full time
-
Citi is an equal opportunity and affirmative action employer.
Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.
View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.
View the EEO Policy Statement.
View the Pay Transparency Posting"
"1605306554-2112","https://mx.indeed.com/trabajo?q=data+analyst&l=M%C3%A9xico&fromage=14","4","https://mx.indeed.com/jobs?q=data+analyst&l=M%C3%A9xico&fromage=14&start=30","Actuarial Analyst","https://mx.indeed.com/rc/clk?jk=2948643d62ebd678&fccid=47a010668bfbe4c6&vjs=3","RGA","Position Overview


The Actuarial Analyst will assists with statistical and actuarial analysis projects through maintaining, building, and delivering reports in a timely fashion to meet internal client needs. Provides technical assistance in the areas of automation, actuarial analysis and acts as a strategic problem solver by developing programs, spreadsheets and databases to organize and analyze data. Interacts with other RGA departments and offices to ensure that department work products are portrayed correctly, understood, and completed in a timely fashion. Produces reinsurance quotes according to quotes process.


Responsibilities


Maintains, develops, improves, and enhances various management information reports, statistical and actuarial models, and other analytic tools to support planning and reporting
Produces quotes and reprices accurately within deadlines and to the necessary standards.
Develops programs and spreadsheet macros to automate repetitive tasks.
Promotes technology awareness by developing automated procedures or utilizing new software features. Develops a good understanding of each client and its mode of pricing, responds to client and internal requests with accuracy and timeliness.
Uses critical thinking to analyze results for reasonableness and accuracy.
Assures quality documentation of all projects, work products, and procedures.


Requirements


Education and Experience

Required:

Bachelor’s degree in Math, Economics, Actuarial Science, Statistics, or related field.
3 years of experience in a business environment working with data analysis or statistical modeling.
Experience with SAS, VBA or SQL programming.
Advanced English Skills (Oral, Reading, and Writing).

Preferred:

Master’s degree in Math, Finance, Actuarial Sciences, Economics or Statistics.
Progress toward Actuarial Exams.
Experience with actuarial pricing software.

Skills and Abilities

Required:

Advance database applications (Access, SQL/Query, VBA or equivalent technology) skills
Advanced Excel skills
Advanced math skills
Must be flexible and adaptive to change
Ability to set goals, multitask and prioritize workload
Ability to share and impart knowledge
Advanced oral and written communication skills
Complex analytical and problem solving skills
Ability to balance detail with departmental goals/objectives
Working knowledge of actuarial, finance and present value concepts
Working knowledge of insurance, accounting and reinsurance concepts
Ability to work independently
Ability to work well within a team environment and participate in department projects
Ability to foster customer service as needed
Familiarity with statistical analysis tools (R and/or SAS)

Preferred:

Competent in AXIS
Ability to program in visual basic or equivalent
Competent understanding of key insurance-related concepts, including health products, reinsurance contracts, and basic GAAP, Statutory, and tax accounting principles.
Knowledge of econometric modeling or comparable statistical models within a business context


Company Overview


Reinsurance Group of America, Incorporated (NYSE: RGA) is a leader in the global life reinsurance industry with approximately $2.9 trillion of life reinsurance in force and assets of $44.7 billion. We are one of the largest life reinsurance companies in the world.

#LI-OJ1

Job Reference: LATAM00054"
