web-scraper-order,web-scraper-start-url,pages,pages-href,titulo,titulo-href,descripcion,empresa
"1605295682-1770","https://mx.indeed.com/trabajo?q=data+science&l=M%C3%A9xico&fromage=14","6","https://mx.indeed.com/jobs?q=data+science&l=M%C3%A9xico&fromage=14&start=50","MDR Sonora","https://mx.indeed.com/rc/clk?jk=a7900123e83aebf7&fccid=e08122e0e993cc32&vjs=3","Your Tasks & Responsabilities


Executes a collaborative knowledge exchange strategy to provide customers with timely insights to enhance their confidence in our products and integrated solutions within their respective territory.
Territory Plans are influenced by more senior MDR to help develop MDRI local market knowledge and business acumen.
Participates in Local Crop/Seed Associations/Boards to build relationships and develop insights on relevant industry/market trends.
Collaborates with MDR/R&D/Sales/Marketing to document local market insights that drive business decisions. Communicates with R&D/Sales/Marketing to evaluate and prioritize customer and business opportunities for local Integrated & Tailored Solutions, Knowledge Transfer and Demand Creation.
Uses overall understanding of market potential, competition, key trends, research and emerging market trends to be a local industry expert.
Explores use of digital tools and technologies to offer customer focused solutions and enhance dealers’-partners’ capabilities.
Generates high quality data and insights to strengthen the company’s understanding of our customer needs, product performance, and/or integrated & tailored solutions.
Influences cross-functional decisions achieve local business success.
Manages local business complexity by leveraging the experience and knowledge of peers in different geographies, cultures and functions.
Partners with other MDR/Sales/Marketing to identify andunderstand our product performance knowledge gaps ensuring we offer best in class service to our customers and business partners.
Coordinates and Conducts field-based applied research across diverse crops to drive product placement and integrated & tailored solutions under local farming conditions.
Provides timely completion of projects; uses appropriate scientifically rigorous methods, ensures data integrity, analysis and communication of results.
Provides practical recommendations to enhance product performance under varied production environment.


Who You Are


Master of Science (1 – 3 yrs) degree in Plant Sciences or Agribusiness (agronomy, plant pathology, weed sciences or closely-related discipline) or Bachelor of Science degree.
5 years of experience in the agricultural industry (product development, agricultural consulting, agricultural production, research).
Agronomic knowledge of vegetable crop production.
Highly analytical with the ability to convert data into practical knowledge and solutions for growers.
Demonstration of strong customer focus and sales orientation Strong written and verbal communication skills.
Ability to perform successfully in a fast-paced, dynamic, team-based environment.
Self-motivate and assertive with a results orientation.
Willingness to travel extensively in the territory and occasional national travel.
Your application
Are you looking for a new challenge where you can show your passion for innovation? Are you interested in working as part of a global team to improve people’s lives? Then send us your online application including cover letter, CV and references.
Bayer welcomes applications from all individuals, regardless of race, national origin, gender, age, physical characteristics, social origin, disability, union membership, religion, family status, pregnancy, sexual orientation, gender identity, gender expression or any unlawful criterion under applicable law. We are committed to treating all applicants fairly and avoiding discrimination.","Bayer"
"1605294986-1742","https://mx.indeed.com/trabajo?q=data+science&l=M%C3%A9xico&fromage=14","5","https://mx.indeed.com/jobs?q=data+science&l=M%C3%A9xico&fromage=14&start=40","Medical Science Liaisons","https://mx.indeed.com/rc/clk?jk=33638a8a7b30eeac&fccid=6b7a1dfe07e7f037&vjs=3","Position Summary

Medical science liaisons act as conduits of information about new research developments, clinical trial activities and therapeutic approaches. The job involves cultivating and maintaining relationships with academic researchers and leaders, attending conferences and talks, presenting information to pharmaceutical product teams and marketing new therapeutic products to physicians and other healthcare professionals. Medical science liaisons work intensively with people at every step of the therapeutic product development process and translate dense, academic information into engaging, persuasive messages. Medical science liaisons assist in developing digital media campaigns aligned with client’s business goals.
Key competencies

Good written and oral communications skillsExcellent inter-personal skills with a high level of knowledge & sensitivity relative to the needs of patients, health care providers and payersAbility to develop/maintain an effective professional network and develop partnerships and strategic collaborationsStrong planning and organization skills. Demonstrated work ethic and integrityA passion for influencing peers, customers and colleagues through compelling scientific and patient insightExcellent communicator and an inspirational presenter, providing training to sales and marketing teams. Ability to listen and learn.
Requirements and qualifications

Bachelor's Degree in Biomedical Sciences / General Medicine/ Internal MedicineDeep understanding of the local health system with demonstrable credibility with KOL’s and other key clinicians/health expertsExperience in understanding and interpreting clinical trial and statistical analysis with the ability to deliver clear and compelling insight to senior medical groupsProven work experience in generating digital media content - at least 1 yearStrong scientific / clinical understandingKnowledge of computer skills

At IQVIA, we believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world. The advanced analytics, technology solutions and contract research services we provide to the life sciences industry are made possible by our 67,000+ employees around the world who apply their insight, curiosity and intellectual courage every step of the way. Learn more at jobs.iqvia.com.","IQVIA"
"1605295307-1763","https://mx.indeed.com/trabajo?q=data+science&l=M%C3%A9xico&fromage=14","7","https://mx.indeed.com/jobs?q=data+science&l=M%C3%A9xico&fromage=14&start=60","Application Developer-Microservices (Desarrollador de micros...","https://mx.indeed.com/rc/clk?jk=04d06089d64d8a0e&fccid=de71a49b535e21cb&vjs=3","Introduction

As an Application Developer, you will lead IBM into the future by translating system requirements into the design and development of customized systems in an agile environment. The success of IBM is in your hands as you transform vital business needs into code and drive innovation. Your work will power IBM and its clients globally, collaborating and integrating code into enterprise systems. You will have access to the latest education, tools and technology, and a limitless career path with the world’s technology leader. Come to IBM and make a global impact!



Your Role and Responsibilities

Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that literally make the world run today - planes and trains take off on time, bank transactions complete in the blink of an eye and the world remains safe because of the work our software developers do. Whether you are working on projects internally or for a client, software development is critical to the success of IBM and our clients worldwide. At IBM, you will use latest software development tools, techniques and approaches and work leading minds in the industry to build solutions you can be proud of.



Required Technical and Professional Expertise

Mandatorio mínimo 2 años: experiencia en:

Java 8

Spring Core

Spring Data

Spring Cloud

Spring Boot

Netlflix OSS (Zuul, Ribbon, Hystrix/Resilience4j, Eureka, configserver)

Base de datos: Oracle, SQL Server, Mongo

JUnit con Mockito

Implementando arquitectura de Microservicios.

Git

Maven



Preferred Technical and Professional Expertise

Spring Webflux

Spring AOP

UML: Diagramas de Clases, Secuencia, Componentes, Despliegue, Actividades.

Certificación Java 8

Conocimientos:

Frameworks Agile (SCRUM, XP, Kanban)

Pruebas Unitarias

Pruebas de Performance

Herramientas de calidad de código: Sonar, Findbugs, PMD, Checkstyle

Jmeter

Eclipse o IntelliJ

Habilidades:

Auto organizado

Auto gestionado

Tolerancia a la Frustración

Comunicación efectiva

Trabajo en equipo



About Business Unit

IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.



Your Life @ IBM

What matters to you when you’re looking for your next career challenge?



Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.



Impact. Inclusion. Infinite Experiences. Do your best work ever.



About IBM

IBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.



Location Statement

For additional information about location requirements, please discuss with the recruiter following submission of your application.



Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.","IBM"
"1605295840-1774","https://mx.indeed.com/trabajo?q=data+science&l=M%C3%A9xico&fromage=14","6","https://mx.indeed.com/jobs?q=data+science&l=M%C3%A9xico&fromage=14&start=50","ADAS Algorithm Development Engineer Sr.","https://mx.indeed.com/rc/clk?jk=c92e2d2c0e1751a4&fccid=12aa2da60fa1c62f&vjs=3","Tasks

The Sensing and Driving Functions Algorithm Engineer Sr. will be responsible for the design, development, and maintainance of features in radar, camera, fusion, and/or vehicle control systems. He/she will actively work with internal and external engineering teams to bring high-quality products into production.



Additional Responsibilities:

Lead a team of engineers to develop features across different projectsDevelop embedded sensor algorithms to meet product requirementsUtilize advanced data analysis techniques to provide insight and inspire future developmentMaintain correspondence with multiple engineering teams, both internal and external.Maintain a thorough understanding of customer and product requirementsFollow Continental's Material Life Cycle development process, including code, requirements, and test result reviews

Qualifications

Basic Qualifications:

Effective communication in English (TOEIC 700+)BS degree in related engineering field: Computer Science, Physics, or MathematicsStrong ability to solve problems in logic, mathematics, and dynamicsProficient at implementing algorithms with C/C++ programmingSkilled at analyzing large sets of data using Python/MatlabExperience developing complex softwareSolid knowledge developing prediction, tracking, and classification algorithms for computer vision, machine learning etc
Willingness to work on different sensor products, and serve many different roles to fill department needs

Preferred Qualifications:

Fluent communication in English (TOEIC 900+)M.S./Ph.D. degree in related engineering field: Computer Science, Physics, or MathematicsAt least 5 years of experience developing SW for automotive applicationsExpert ability to solve problems in logic, mathematics, and dynamicsExperience developing automotive software is a plusDevelopment experience with radar and camera sensors and algorithmsSelf-motivated, with an ability to work within a team or autonomously

Benefits


Lebensversicherung
Mitarbeiter werben Mitarbeiter
Kantine
Gesundheitsvorsorge
Reisekostenzulage
Gehaltsbonus
Flexible Arbeitszeiten
Karriereberatung und Trainingsangebot
About us

The Autonomous Mobility and Safety Business Area integrates safety technologies and controls vehicle dynamics to ensure safe and comfortable driving. The objective is to implement ""Vision Zero"", the vision of accident-free driving. Autonomous Mobility and Safety's components and system capabilities are prerequisites for autonomous mobility.


Keyfacts

Job-ID

160774BR


Function

Engineering
Nice to know


Continentals Spezialisten aus unterschiedlichen Disziplinen treiben den Trend des Automatisierten Fahrens mit aller Innovationskraft voran.

Direkt zur Karriere Website","Continental AG"
"1605296039-1780","https://mx.indeed.com/trabajo?q=data+science&l=M%C3%A9xico&fromage=14","4","https://mx.indeed.com/jobs?q=data+science&l=M%C3%A9xico&fromage=14&start=30","Senior Data Engineer","https://mx.indeed.com/rc/clk?jk=c3eaeff7b6fd0f8a&fccid=69404b4fd1d4bb12&vjs=3","Why Kueski?

""DO TECH SHARE WEALTH”


Kueski is a technology company that provides digital financial services to the underserved in Mexico.

The company uses advanced artificial intelligence and machine learning tools to conveniently

evaluate creditworthiness and disperse loans in a matter of seconds. The company is working to close

the “access to credit” gap by creating a digital financial ecosystem in a country where a large part of

the population does not have access to safe solutions that allow them to create a healthy credit

history.

Kueski is a startup with a presence in Silicon Valley and Guadalajara. Our investors: CrunchFund,

Core Ventures Group, Sobrato, and Ariel Poler are between the best in the World having invested in

companies such as Uber, Pinterest, FourSquare, Airbnb, and Square.



Benefits and Perks:
Stock Options.Major medical insuranceFlexible work time, including working from home.10 days of vacations. You decide when to take vacations. Hard work deserves a good rest.Breakfast, lunch, snacks… food 24 hours.Nap room. (For those moments of nap time).Developer-creative oriented workspace.Pantry Vouchers30 day Christmas Bonus.No dress code but PLEASE, come dressed!.Law benefits

This is a remote role. Candidates located in Mexico and anywhere in Latin America will be considered.

Objective:

Drive the architectural design, implementation plan, best practices, and testing plans for projects involving terabytes of data, which will serve as the foundation of advanced analytics and machine learning initiatives.

Goal of our team:

Transport data reliably across all our systems and users for analytical purposes.

Requirements of the position:

Strong programming skills with solid engineering foundations: coding practices, architectural and design skills.
Experience designing and implementing ETL processes, dealing with big volumes of data requiring distributed processing
Experience with NoSQL databases such as Apache HBase, MongoDB, Cassandra, etc.
Experience in data stream processing technologies including Kafka, Spark Streaming, etc.
Experience working with infrastructure as a code (AWS Cloudformation, Ansible, etc.)
Experience with RESTful API oriented design and service-oriented architectures

What you will be doing:

Working with state of the art data open source processing techniques: ELT, Batch, Streaming, Incremental Loads among others.
Build services which allow us to ingest and transform data among many layers of our architecture. No matter the size, format and speed we can tackle it.
Keep on learning the newest data processing technologies such as NoSQL, Orchestrators, Serverless, Autoscaling Clusters and many others.
Help strengthen our Data Management, Quality and Monitoring processes.
Work closely with other Engineers, Data Scientists, Product Owners and Managers, Analysts and nontechnical stakeholders to help them get access to reliable data

What you won’t be doing:

Using common ETL tools like Informatica, Talend, Pentaho, etc. We build our own systems.
Building, Deploying or maintaining Machine Learning Models or complex Feature Engineering. These tasks are handled by our Data Science and Machine Learning Engineer Teams.
Building and maintaining relational databases. We don’t handle transactional processing.
Directly managing people. While we work as a team you won’t have people reporting directly to you

You will need to be successful:

You have intellectual curiosity and the capacity to learn and implement new data architectures and leading edge technologies.
You thrive in dynamic, fast-paced, results-oriented teams
You believe in building great products and doing great work
You want to understand the big picture, to be held accountable and make a meaningful contribution with your work

Technical knowledge:

Python, Java or Scala proficiency
Solid experience with Spark
+3 years of experience with large-scale data engineering
Experience with cloud platforms & services
English: intermediate-advanced
Unit / functional / integration testing

Plus:

BS/MS/Ph.D. in Computer Science or equivalent
Statistical analysis and descriptive analytics","Kueski"
"1605295284-1760","https://mx.indeed.com/trabajo?q=data+science&l=M%C3%A9xico&fromage=14","7","https://mx.indeed.com/jobs?q=data+science&l=M%C3%A9xico&fromage=14&start=60","Product Support Engineer II","https://mx.indeed.com/rc/clk?jk=12ef0e3d820413cf&fccid=2a90b491c8a55d0f&vjs=3","FICO (NYSE: FICO) is a leading global analytics software company, helping businesses in 90+ countries make better decisions. Join our world-class team today and fulfill your career potential!
Job Summary
Job Description
Role: Product Support Engineer II
The Opportunity
“As a Product Support Engineer, you will provide remote technical support to internal and external clients for both hosted and on-premise solutions by supporting our diverse product portfolio. You’ll collaborate through innovation with IT, operations teams, product development, and product management.” – VP, Product Support.
What You’ll Contribute
Tier – II product support for all clients.
Duties include but not limited to Maintenance and Support of Origination Manager Products and Solutions;
Replicating client-reported problems; resolving routine and complex end-user problems in assigned product areas
Triage and escalate incidents in a timely manner according to standard operating procedures.
An experienced support engineer will act as a mentor and provide training to other support engineers on technical issues and may become an SME (Subject Matter Expert) of the product or a module.
This is not a developer position, however, it involves extensive troubleshooting and problem-solving skills, learning various FICO products and modules, interaction with the developers of both our customer base and within FICO.
You will use your sharp analytical skills, knowledge of software engineering, and project life cycle skills to help analyze and resolve the product and/or solution issues.
What We’re Seeking
Bachelor’s degree in Computer Science, Engineering, or equivalent.
Strong understanding of Object-Oriented Design and programming, specifically experience working on Core Java and related technologies.
Experience in troubleshooting multi-tier enterprise applications and relational databases.
Ability to prioritize and manage multiple incidents.
Excellent customer interaction skills.
Experience and exposure in AWS and AWS cloud technologies and/or Outsystems platform is a plus.
Experience supporting and trouble-shooting Cloud application is an added advantage.
Experience and Knowledge of Kubernetes and cloud deployment is a plus.
Must be willing to work weekend on-call rotation; additional pay will be provided.
Our Offer to You
A culture and work environment strongly reflecting our core values: Act Like an Owner, Delight Our Customers and Earn the Respect of Others.
The opportunity to make a difference by leveraging your unique strengths.
Highly competitive compensation and rewards.
Opportunities to give back to your community, social events with colleagues, and a comprehensive benefits program inclusive of progressive parental leave.
Why Make a Move to FICO?
At FICO, you can develop your career with a leading organization in one of the fastest-growing fields in technology today – Big Data analytics. You’ll play a part in our commitment to help businesses use data to improve every choice they make, using advances in artificial intelligence, machine learning, predictive and prescriptive modeling, and much more.
FICO makes a real difference in the way businesses operate worldwide:
Credit Scoring — 150+ billion FICO Scores have been sold to date, making it the most used credit score in the world.
Fraud Detection and Security — 2.6+ billion payment cards globally are protected by FICO fraud systems.
Lending — 3/4 of US mortgages are approved using the FICO Score.
Anti-Money Laundering — our solutions check more than half a billion transactions a day to prevent criminal schemes such as terrorist financing
Global trends toward digital transformation have created tremendous demand for FICO’s solutions, placing us among the world’s top 100 software companies by revenue. We support many of the world’s largest banks, insurers, retailers, telecommunications providers and other firms reach a new level of success.
Our success is dependent on really talented people – just like you – who thrive on the collaboration and innovation that’s nurtured by a diverse and inclusive environment. We’ll provide the support you need, while ensuring you have the freedom to develop your skills and grow your career. Join FICO and help change the way business thinks!
Learn more about how you can fulfill your potential at www.fico.com/Careers
FICO values the benefit that diversity and a culture of inclusion bring to our workplace. We are an equal employment opportunity and affirmative action employer and we’re proud to offer employment and advancement opportunities to all applicants without regard to race, color, ancestry, religion, sex, national origin, pregnancy, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.","FICO"
"1605296668-1794","https://mx.indeed.com/trabajo?q=data+science&l=M%C3%A9xico&fromage=14","3","https://mx.indeed.com/jobs?q=data+science&l=M%C3%A9xico&fromage=14&start=20","Software Engineer - Backend","https://mx.indeed.com/rc/clk?jk=24d23425c23dd23b&fccid=2c61796b0c2e4188&vjs=3","About delt.ai


At delt.ai, we are building the next Neobank for Entrepreneurs, Small and Medium Companies. Our goal is to create a digital services platform that manages your finances from transactions to records. By combining the power of banking tools and administrative automatization, delt.ai can provide peace of mind to business owners so that they can focus on what matters most - growing their businesses.


Deltas: Our People


We aim to hire not only the best-in-class talent but also high-potential individuals with the aspiration to grow, learn, build, create and win.


Our Values


Humbleness


We know can always learn from others, so we are open to other people’s ideas and ways.


Resourcefulness


We enjoy solving problems with the tools available, we also like to choose our battles and tools.


Open & decentralized


Our teamwork philosophy is to manage less, produce more. We invest time in a common vision and open work environment.


Our Culture


We like to do things right


We love doing things in the right way, while mindful of tight schedules.


Creative thinking


We love engineering, but we love understanding the product and making humans central to our design.


We like to feel human


We are very demanding with our results, but we don’t want to forget we are humans. We make robots, but we don’t become them.


What you'll do:



Create and implement new features with the correct use of algorithms and data structures that allow you to perform your task in an elegant, reliable, and efficient way.
Integrate APIs, libraries, and SDKs developed by third parties.
Construct of highly skilled, safe, and robust software systems.
Code tests to ensure the correct functioning of the code through suites of at least unit and integration tests which will be automated through a continuous integration pipeline.
Develop, use, and maintain internal libraries to minimize technical debt and time required during the different stages of the systems development life cycle (SDLC).
Contribute to the long-term vision and strategy of the engineering area staying informed, proposing, and implementing different practices for programming and quality assurance.
Collaborate with managers to define tasks, deadlines, and personal deliveries:
Estimate delivery times for assigned tasks and give updates to these tasks.
Participate in active communication with the different team members to be aware of the status of the projects in which he/she participates and problems that require an immediate solution, as well as provide and receive feedback.



This role is for you if you:



Experience in a similar role
Solid understanding in object-oriented programming fundamentals
Have solid initiative and autonomous management
Have strong knowledge in Python and at least one Python web frameworks such as Flask or Django
Have substantial experience in a testing framework, such as pytest
Are a team player



What we offer:



Work with a passionate and high-skilled team
Opportunities for growth and constant learning
Competitive salary
Flexible schedule (including home office)
An excellent work environment



It's a plus!



B.S. in Computer Science / Software Engineering or related
Experience working with agile methodologies in a distributed team
Prior experience with cloud computing
Solid understanding in object-oriented programming fundamentals
Excellent documenting skills
Experience in API design and fundamentals



Why join delt.ai?


If you ever wanted your workplace to be a propeller and not a blocker. If you want to be in a place where doing things right is on top of any other reason and to experience a constant opportunity to become your best version by developing your own skills, then delt.ai is the best place to work for you!","delt.ai"
"1605295145-1751","https://mx.indeed.com/trabajo?q=data+science&l=M%C3%A9xico&fromage=14","5","https://mx.indeed.com/jobs?q=data+science&l=M%C3%A9xico&fromage=14&start=40","Service Delivery Manager","https://mx.indeed.com/rc/clk?jk=d830fa90ac2ccba5&fccid=b920aab5fd60595d&vjs=3","Thales people architect identity management and data protection solutions at the heart of digital security. Business and governments rely on us to bring trust to the billons of digital interactions they have with people. Our technologies and services help banks exchange funds, people cross borders, energy become smarter and much more. More than 30,000 organizations already rely on us to verify the identities of people and things, grant access to digital services, analyze vast quantities of information and encrypt data to make the connected world more secure.
The Service Delivery Manager ensures that the managed services sold to the customer are properly implemented and delivered in compliance with the contract and SLA agreed with the customer and with the applicable regulations.
The service delivery manager focuses on keeping customer satisfied with Thales BPS services through managing service operation, focus on reliability issues, tracking service metrics & KPIs, managing budgets and helping lead the professionals responsible for getting services delivered to customers.
Main responsibilities:
Maintaining positive relationships with customers.
Identifying customer needs and overseeing service delivery within the business context.
The primary interface to the customer for all aspects related to the managed services.
Organize training of all parties (Thales DIS support teams, subcontractors, partners…) involved with the managed services and ensures knowledge is maintained throughout the duration of the contract.
Delivers reports and KPI’s to the customer as per the agreed schedule.
Ensures issues are dealt with per the SLA and monitors issue escalation is managed appropriately.
Manages customer complaints related to the managed services.
Meets regularly with the customer and third parties to discuss performance of Thales DIS and propose improvements.
Ensures services are invoiced to customer and participates to financial reviews
Requirements:
Bachelor’s degree in Computer Science or relevant related field of study.
3-5 years of experience in managed service delivery.
Knowledge of ITIL and Service Delivery best practices.
Knowledge on AWS Cloud, monitoring tools, networking, infrastructure, Linux and mobile application.
Experience in direct cooperation with international customers.
Excellent interpersonal and communication skills.
Very good organizational and negotiation skills.
Ability to make decisions and take initiatives
Advanced English
At Thales we provide CAREERS and not only jobs. With Thales employing 80,000 employees in 68 countries our mobility policy enables thousands of employees each year to develop their careers at home and abroad, in their existing areas of expertise or by branching out into new fields. Together we believe that embracing flexibility is a smarter way of working. Great journeys start here, apply now!","Thales Group"
"1605295453-1767","https://mx.indeed.com/trabajo?q=data+science&l=M%C3%A9xico&fromage=14","7","https://mx.indeed.com/jobs?q=data+science&l=M%C3%A9xico&fromage=14&start=60","Medical Sciencie Liaison Neuroscience","https://mx.indeed.com/rc/clk?jk=0ff62a220c8a08eb&fccid=c35194d01a9e2595&vjs=3","250! The number of genomics research projects that are waiting for your data analysis expertise every year.




Your work will be important towards faster discovery and development of next generation breakthrough therapies for unmet medical need.



Your key responsibilities:



Your responsibilities include, but not limited to:

Provides medical knowledge to leadership for the Therapeutic Area in order to support marketing activities, ensure support & delivery of global, regional and local clinical trials & access activities, to drive our molecules as the best option of treatment for the right patient.
Leads, develops and handles a medical affairs team involved in each molecule or Therapeutic Area Provides expertise and knowledge of Therapeutic Area for pipeline development, support training to internal and external partners (medical & product information).Ensures effective clinical development of molecules through ownership of the trial development according with to GCP and is accountable for the selection of global and design of local trials.Owns the development and maintaining of Medical Experts plan with the Product Manager, support and development of promotional materials and signs off final.Provides the medical insights and approval for any Compassionate Use Program (CUP) if applicable.Participate in activities related to pharmacovigilance system as appropriate, report of adverse events, patient oriented management, implementation of risk management plans and Pharmacovigilance training programs as applicable.

Minimum requirements
What you’ll bring to the role:

Have a Medical, Health Science, Physician or similar Bachelor Degree; Ideally have a Specialty Studies/Degree in Neuroscience; Sophisticated Spanish and English skills (written, reading and speaking);Validated experience as a Medical Science Liaison in Neuroscience in the industry with research procedures in high specialty related therapeutic areas (such as Internist, Immunology, Epidemiology, Rheumatology, Endocrinology, etc...); Must have a strong understanding of general medical and emerge scientific information in the Country as well as established contacts within the medical community; Must have the ability to develop and cultivate credible relationships with Medical Experts/Decision Makers; Has solid understanding of the market preparation and access requirements encompassing medical strategies and market trends;Has excellent leadership and teamwork background with follow-up of organizational change activities; Must have experience and knowledge with the Healthcare Systems procedures and guidelines; Preferably working before in Pharma companies or with Pharma projects understanding the changing dynamics of the Pharmaceutical Industry ideally in Oncology and with regional projects;Has excellent abilities to communicate, influence, persuade and negotiate with different teams and partners; Has high ethic and integrity skills; Looks always for Operational Perfection; Has the ability to seek problems and sophisticated issues; Has excellent teammate skills.
You’ll receive:

Competitive salary, annual bonus, flexible working arrangements, subsidized dining facilities, employee recognition scheme, professional development, learning experiences, diversity & inclusion.



Why consider Novartis?

799 million. That’s how many lives our products touched in 2019. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?



We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.



Imagine what you could do at Novartis!



Commitment to Diversity & Inclusion:

Novartis embraces diversity, equal opportunity and inclusion. We are committed to building diverse teams, representative of the patients and communities we serve, and we strive to create an inclusive workplace that cultivates bold innovation through collaboration, and empowers our people to unleash their full potential.



Join our Novartis Network: If this role is not suitable to your experience or career goals but you wish to stay connected to learn more about Novartis and our career opportunities, join the Novartis Network here: https://talentnetwork.novartis.com/network
Division
PHARMA
Business Unit
LACAN PHARMA
Country
Mexico
Work Location
Distrito Federal
Company/Legal Entity
NOV CORPORATIVO MEX
Functional Area
Research & Development
Job Type
Full Time
Employment Type
Regular
Shift Work
No","Novartis"
"1605295786-1773","https://mx.indeed.com/trabajo?q=data+science&l=M%C3%A9xico&fromage=14","6","https://mx.indeed.com/jobs?q=data+science&l=M%C3%A9xico&fromage=14&start=50","Digital Sales","https://mx.indeed.com/rc/clk?jk=f983ac5feb660806&fccid=b920aab5fd60595d&vjs=3","Thales people architect identity management and data protection solutions at the heart of digital security. Business and governments rely on us to bring trust to the billons of digital interactions they have with people. Our technologies and services help banks exchange funds, people cross borders, energy become smarter and much more. More than 30,000 organizations already rely on us to verify the identities of people and things, grant access to digital services, analyze vast quantities of information and encrypt data to make the connected world more secure.
As a Solution Sales Manager, you will promote innovative products and solutions and increase business opportunities that will secure the digital lives of millions of people.
Main responsibilities:
You will present the Thales DIS Product Portfolio to banking customers in Mexico and Central America
You will be helping the account manager in the customer’s strategy formulation, opportunity identification and deal closing.
You will follow a reliable forecast in order to ensure delivery.
You will be responsible for commercial operations such as P&L and pricing approvals and will support the account manager in the contract closing
You will manage existing customers to develop partnerships within retail, banking and financial institutes for the region.
You will liaise and coordinate with internal resources to meet customer expectations.
You will report market needs, opportunities for solutions and services, competition activity and recommendations on product definition.
You will follow up with product line and solution deliveries.
You will increase market share, revenue and margin in-line with quarterly and yearly objectives
Requirements:
Degree in Engineering, Computer Science, or a related field.
3 - 5 years of experience in technical sales or pre-sales in banking products and solutions.
Strong knowledge of technical and innovative solutions, banking, IT and cyber security industries; contacts within the banking, retails and financial institutes; knowledge of sales methods, funnel management and sales control.
Strong communicator and negotiator, analytical, results-oriented, a strong time manager, autonomous, honest and empathetic.
Advanced English
At Thales we provide CAREERS and not only jobs. With Thales employing 80,000 employees in 68 countries our mobility policy enables thousands of employees each year to develop their careers at home and abroad, in their existing areas of expertise or by branching out into new fields. Together we believe that embracing flexibility is a smarter way of working. Great journeys start here, apply now!","Thales Group"
