web-scraper-order,web-scraper-start-url,pages,pages-href,titulo,titulo-href,empresa,descripcion
"1605323964-2969","https://mx.indeed.com/jobs?q=database+developer&l=M%C3%A9xico&fromage=14","5","https://mx.indeed.com/jobs?q=database+developer&l=M%C3%A9xico&fromage=14&start=40","Senior Software Developer","https://mx.indeed.com/rc/clk?jk=eaf2d4822f934fc8&fccid=c2c6a7536e4d9df3&vjs=3","PACCAR","Company Information
PACCAR is a Fortune 500 company established in 1905. PACCAR Inc is recognized as a global leader in the commercial vehicle, financial, and customer service fields with internationally recognized brands such as Kenworth, Peterbilt, and DAF trucks. PACCAR is a global technology leader in the design, manufacture and customer support of premium light-, medium- and heavy-duty trucks under the Kenworth, Peterbilt and DAF nameplates and also provides customized financial services, information technology and truck parts related to its principal business.
Whether you want to design the transportation technology of tomorrow, support the staff functions of a dynamic, international leader, or build our excellent products and services, you can develop the career you desire with PACCAR. Get started!


Division Information
PACCAR’s Information Technology Division (ITD), located in Renton, WA utilizes cutting-edge technology to provide systems development, consulting, voice and data communications services to the entire Corporation, which has high visibility in the technology sector.
Requisition Summary
We are seeking a Rockstar C#, .NET developer and front end scripting guru to join our team to contribute to the development of our state-of-the-art product configuration system for Microsoft Dynamics. If you are looking for autonomy, are a go-getter, and have a passion for digging into the code to find solutions with a “buck stops with me” mentality, we are looking for you!
Job Functions / Responsibilities
Work Closely with the development team to design and implement user stories
Analyze business requirements then design and code web applications, services, and batch processes using .NET framework/.NET Core
Understand and follow the agile software development life cycle methodology
Build and maintain positive relationships with co-workers
Possess excellent oral and written communication skills
Have the ability to manage multiple tasks and projects simultaneously
Develop and execute test scenarios to ensure the stability and performance of applications utilizing unit test framework
Production Support
Use of Azure DevOps on a daily basis Application Lifecycle Management (ALM) tool
Qualifications
5+ years of IT or technical related experience required
7+ years of .NET or related experience required
Maintained high level of quality while working under pressure and deadlines
Analytical ability to synthesis data and reporting on metrics
Customer service oriented
A general technical background, understanding of mainframe, AS400 and other systems
Proven ability to stay organized
Ability to assess the impact of new requirements on an existing suite of complex applications
A working knowledge of programming languages and database design
Working knowledge of front end frameworks like Angular, React, Java
C#, ASP.NET, HTML 5, CSS3, JavaScript, TypeScript, JSON, SQL
Strong debugging skills required
Ability to take a business user story, and translate it into design specs, development tasks, and provide accurate, reasonable estimates for completion
Must be a “Go-Getter” with a relentless mindset to “dig in” to find a solution
Experience with Dynamics CRM, Dynamics 365, Experlogix CPQ, AX, NAV, Salesforce is a plus
Experience using the Agile Scrum methodology of product development
Experience with AWS development
Education
Bachelor’s degree in Computer Science/MIS, Engineering, Business Administration or related field required
Additional Job Board Information
PACCAR is an Equal Opportunity Employer/Protected Veteran/Disability."
"1605323681-2952","https://mx.indeed.com/jobs?q=database+developer&l=M%C3%A9xico&fromage=14","","","Software Engineer","https://mx.indeed.com/rc/clk?jk=b21e113ba38b4946&fccid=026893d6a31257b7&vjs=3","Konfio","Who We Are

A financial technology company dedicated to supporting the small and medium-sized companies in Mexico, developing and offering solutions to solve their main problems, and seeking to be the best ally of entrepreneurs with dreams and ambitions to create value, consolidate their well-being and contribute to the community and the country.


The ideal candidate will be responsible for developing high-quality applications. They will also be responsible for designing and implementing clean, testable and scalable code.



Responsibilities

Develop quality software and web applications end to end (fullstack)
Analyze and maintain existing software applications
Design highly scalable, testable code
Discover and fix programming bugs
Work with development teams and product managers to ideate software solutions



The K Factor for the Role

Bachelor's degree or equivalent experience in Computer Science or related field
Development experience with programming languages: Python and PHP
Feel comfortable with Javascript ES6
Master any of the following frameworks: React or Vue
Know HTML5 and semantic labels.
Make maintainable code in CSS3
SQL database or relational database skills
Proven experience as a Full Stack Developer or similar role (+3y)
Great attention to detail



Team Perks



Health insurance
Vacation bonus according to tenure
Holiday bonus according to tenure
You'll be part of a world-class FinTech team, with people from more than 11 countries and top Mexican talent; you will never be the smartest guy in the room.
Direct connection with some of the top mentors in the digital industry from QED, Kaszek, Google, Facebook, PayPal, among others.
Konfio Welcome Kit."
"1605324357-2989","https://mx.indeed.com/jobs?q=database+developer&l=M%C3%A9xico&fromage=14","4","https://mx.indeed.com/jobs?q=database+developer&l=M%C3%A9xico&fromage=14&start=30","ITSM Track Associate Specialist","https://mx.indeed.com/company/ALTUMWARE/jobs/Itsm-track-associate-specialist-5f6d59c77e92f869?fccid=40e2f86e5f227ae7&vjs=3","Altumware SC","En Altumware queremos que formes parte de nuestro equipo!Estamos en busca de ITSM Track Associate SpecialistSkillServiceNow IntegrationServiceNow ImportServiceNow DeveloperServiceNow ArchitectIT infrastructure experienceConfiguration and/or Change and Release ManagementServiceNow and/or Remedy CMDBITIL v3/v4 Foundationsimplementing and/or supporting a Configuration Management Database (CMDB)Act as SME to establish Configuration Management Process and core capabilitiesProvide active hands-on support and enhance the ServiceNow Configuration Management Database (CMDB).Work closely with ServiceNow Discovery Team and Service Mapping team on Configuration Item (CI) Discovery, Discovery Integration, and Service Mapping.Provide an understanding of the requirements and objectives of ITIL and ITSM best practices and advise stakeholders in the execution of Configuration Management process activities required to enable effective IT Operations across the organization.Ensure end-to-end delivery of Configuration Management services and be responsible for developing and maintaining a complete, accurate, secure, and compliant CMDB while continuously improving processes and standards.Provide valuable inputs and support for regular audits and utilization of Cis in the organization.Work closely with IT Business and Service Management teams and improve processesTipo de puesto: Tiempo completoSalario: $35.00 - $44.00 al mesHorario:Lunes a viernesExperiencia:Service Now: 6 años (Requisito deseable)Idioma:Ingles avanzado (Requisito mínimo)Trabajar desde casa:Temporalmente debido al COVID-19"
"1605323914-2965","https://mx.indeed.com/jobs?q=database+developer&l=M%C3%A9xico&fromage=14","5","https://mx.indeed.com/jobs?q=database+developer&l=M%C3%A9xico&fromage=14&start=40","Manager, Manufacturing Engineering","https://mx.indeed.com/rc/clk?jk=98942af056a3e0f5&fccid=7847eeddd5ec77ae&vjs=3","Stryker","Who We Want
Effective communicators. People who can interpret information clearly and accurately to concisely communicate results and recommendations to stakeholders, senior management, and their teams.
Talent developers. Growth-oriented managers who recruit and hire top-performing talent and prioritize the development of their team members.
Quality-focused team drivers. People who push their team to deliver the highest quality products and solutions in a timely manner.
nsightful advisors. Managers who lead strategy development and provide guidance to teams .
Metrics-oriented managers. People who are always tracking important business metrics to ensure projects meet expectations and budget.
What You Will Do
Coordinates and oversees Manufacturing Engineering activities ensuring they meet applicable regulatory requirements and internal business requirements, and assuring they achieve the set goals of efficiency, effectiveness and compliance. Liaison with other Business and Functional Managers throughout the organization, to ensure activities are being properly planned, implemented, executed, and maintained, meeting their expectations.
Essential Duties and Responsibilities
Build and develop highly competent teams capable of executing to the strategic plan with deep technical skills, innovation ability, engineering know-how and core competencies
Support with de development of the manufacturing and process engineering expertise through intentional selection, training and development of engineering talent.
Deliver effective engineering solutions to drive Corrective and Preventive Action, Statistical Process Controls, Validations, Six Sigma and similar methodologies with full compliance to FDA QSR, ISO 13485, Corporate and Divisional procedures
Partner with Supplier Quality, AO, Supply chain and Strategic Sourcing teams to develop close strategic collaboration with OEM’s, component suppliers, manufacturing equipment, and technology partners to ensure optimum vendor selection, machine/component pricing, and servicing as well as supply chain design.
Support Validation activities and work closely with Validation Systems engineers to keep process and equipment qualification processes up to the standards.
Oversee the specification, purchase and qualification of capital equipment optimizing technological capabilities and return on investment. Will monitor and control progress of projects to ensure sound application of engineering principles are used and design intent is being followed/achieved.
Provide effective support for daily production operations with heightened level of urgency; ensure that all products meet specifications, performance, quality, cost, yield and capacity targets. Provide training, training materials and operator support as required. ensure effective and balanced allocation of work and resources to achieve excellence in production support
Advocate for Safety and Environmental Excellency; Drive workplace ergonomics and facility layout design.
Drive the achievement of excellence in project management; Communicates regular weekly updates on project status to senior management, project teams, stakeholders and sponsors. Ensure flawless delivery of all project commitments.
Monitor and review of monthly departmental budgets and compilation of overall monthly capital and expense spend projections.
Will have periodic contact with customers (e.g. face to face, telephonic, written correspondence, E-mail)
Responsible for Manufacturing Engineering’s departmental compliance with company policies and corrective actions
Maintain necessary training on department procedures
Manage time and resources effectively through use of positive problem-solving skills
Continuously strive to improve quality of products by recognizing opportunities for improvement and ideas
What You Will Need
B.S. engineering (mechanical, electrical, or industrial)
Minimum of 7 years of experience on engineering or technical function
3+ years of management experience
3+years of project management experience
Excellent analytical and interpersonal communications skills
Demonstrated mechanical, electrical or general engineering problem solving skills
Demonstrated outstanding organizational, industry, and technical knowledge (preferably processes associated with Medical Device manufacturing industry)
Demonstrated ability to lead/facilitate problem solving teams
Demonstrated ability to develop detailed process plans using applicable tools (PFMEA, Fault Tree Analysis, and Safety and Efficacy reviews)
Demonstrated ability to implement qualified processes using applicable systems (Process Validation, Process Planning Tools, Design of experiments, Manufacturing Assembly Procedures)
Demonstrated ability to apply Design for Manufacturability concepts
Demonstrated ability to plan, track and facilitate projects using applicable tools (Gantt and Pert Charts etc.)
Demonstrated ability to justify, procure and implement major capital equipment programs
Basic computer skills (word processing, spreadsheet database)
Must be able to generate and explain detailed proposals, guidelines and procedures
Must be able to resolve complex process and/or systems issues using independent judgement
Must be able to routinely make decisions that affect immediate operations and may have a division wide effect.
Must be able to plan, organize, and implement multiple, concurrent tasks
Bilingual: English/Spanish.
#LI-LatAM
Work From Home: Occasional
Travel Percentage: 10%"
"1605324438-2995","https://mx.indeed.com/jobs?q=database+developer&l=M%C3%A9xico&fromage=14","3","https://mx.indeed.com/jobs?q=database+developer&l=M%C3%A9xico&fromage=14&start=20","Senior Java Developer for AI Apps","https://mx.indeed.com/rc/clk?jk=7af2825c495c77dd&fccid=cd22d01053af7669&vjs=3","Oracle","Senior Java Developer for AI Apps-20000YXM



Applicants are required to read, write, and speak the following languages: English, Spanish

Preferred Qualifications


Brief Description:

Are you ready to take the next step in your professional life and start a career with us?

Oracle’s Adaptive Intelligent Applications team (AI Apps) is looking for exceptional individuals that wish to develop their skills helping us build our next generation of AI Oracle Cloud Applications.
Detailed Description:

The AI Apps team is developing a framework and data driven applications using state of the art technology ingesting from Big Data sources and using and integrating machine learning (ML) pipelines. We are in the lookout for developers interested in learning with us and help us build the next generation of AI Apps.
Job Requirements:

We are seeking for brilliant individuals in eager to learn and grow, with strong engineering background and proven track as a software developer or software engineer, and passion for converting clear specifications into robust, high quality, world class production code.
Ideal candidates should match or exceed the following criteria:
BS or MS degree or equivalent experience relevant experience
2-4 years of software engineering or related experience.
Relational or NoSQL database experience
2-4 Years of experience with Java
Agile development experience
AI, ML, Python and REST service experience are desired but not required

This is a great opportunity, come join us!



Detailed Description and Job Requirements

Analyze, design develop, troubleshoot and debug software programs for commercial or end user applications. Writes code, completes programming and performs testing and debugging of applications.



As a member of the software engineering division, you will perform high-level design based on provided external specifications. Specify, design and implement minor changes to existing software architecture. Build highly complex enhancements and resolve complex bugs. Build and execute unit tests and unit plans. Review integration and regression test plans created by QA. Communicate with QA and porting engineering as necessary to discuss minor changes to product functionality and to ensure quality and consistency across specific products.



Duties and tasks are varied and complex needing independent judgment. Fully competent in own area of expertise. May have project lead role and or supervise lower level personnel. BS or MS degree or equivalent experience relevant to functional area. 4 years of software engineering or related experience.



Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law.



Job: Product Development
Location: MX-MX,Mexico-Guadalajara/Zapopan
Job Type: Regular Employee Hire
Organization: Oracle"
"1605323559-2945","https://mx.indeed.com/jobs?q=database+developer&l=M%C3%A9xico&fromage=14","","","Senior Visual Basic Developer","https://mx.indeed.com/company/Consultoria-en-TI/jobs/Senior-visual-basic-developer-0a7d9f01cbfa3146?fccid=84b1035ca3de3bf5&vjs=3","Consultoria en TI","OOP knowledge
Visual Basic (strong experience )
Database experience, SQL Server (queries, SP, Tirggers, joins) Web Services, AgileTipo de puesto: Tiempo completo, IndefinidoSalario: $50,000.00 - $55,000.00 al mesExperiencia:Agile : 5 años (Requisito mínimo)Idioma:Advanced English skills (Requisito mínimo)Trabajar desde casa:Sí, siempre"
"1605324379-2991","https://mx.indeed.com/jobs?q=database+developer&l=M%C3%A9xico&fromage=14","4","https://mx.indeed.com/jobs?q=database+developer&l=M%C3%A9xico&fromage=14&start=30","Jr. System Administrator","https://mx.indeed.com/rc/clk?jk=345bb49848e14271&fccid=cd22d01053af7669&vjs=3","Oracle","Jr. System Administrator -20000YUB



Applicants are required to read, write, and speak the following languages: English

Preferred Qualifications


The Oracle Document Engineering (DocEng) team is seeking a junior System Administrator who is enthusiastic about Infrastructure and has a great interest in the configuration, development and support of Infrastructure. System administration includes the support of Compute resources (Linux, Windows), database, storage and network in the Oracle Cloud.

The DocEng team designs, creates, implements and maintains publishing tools and applications that are used by User Assistance (UA) Information Developers (technical writers) for the creation, publishing, and delivery of product documentation to the Oracle Help Center (http://docs.oracle.com ). The System Administrator is responsible for administering, maintaining and configuring Infrastructure for the DocEng team. The System Administrator will be involved in the design and creation of Compute, Database, Storage and Network environments in the Oracle Cloud.

The junior System Administrator’s responsibilities include:
Configuring, maintaining and troubleshooting Linux and Windows Servers. This includes:
o Setting up Linux and Windows servers in the Oracle Cloud and in On Prem.
o Installing and configuring system software on servers.
o Setting up Network storage
Configuring and troubleshooting Network issues.
Creating, administering and maintaining Jenkins environment.
Creating, administering and maintaining Kubernetes environment.
Maintaining Database environments
Providing high quality technical support for the DocEng Development, Integration and Production Environment (environments has a pool of 100+ servers).
Researching and developing system tools for use in DocEng infrastructure.
Investigating, troubleshooting, and resolving DocEng Infrastructure issues reported by users.
Working with and learning from a team of Senior System Administrators and software developers.


 System administration of Compute resources, Kubernetes, Jenkins, Storage and Databases. Provide support for the DocEng Infrastructure.


 As a member of the Doc Engineering (DocEng) organization, the System Administrator will take on an active role in the definition and evolution of standard support practices and procedures.

The System Administrator will be responsible for:
Configuring, maintaining and troubleshooting Linux and Windows Servers. This includes:
Setting up Linux and Windows servers in the Oracle Cloud and in On Prem.
Installing and configuring system software on servers.
Setting up Network storage
Configuring and troubleshooting Network issues.
Creating, administering and maintaining Jenkins environment.
Creating, administering and maintaining Kubernetes environment.
Maintaining Database environments
Providing high quality technical support for the DocEng Development, Integration and Production Environment (environments has a pool of 100+ servers).
Researching and developing system tools for use in DocEng infrastructure.
Investigating, troubleshooting, and resolving DocEng Infrastructure issues reported by users.
Working with a team of Senior System Administrators and software developers.


Work is non-routine and very complex, involving the application of advanced technical applications in area of specialization. The role will be as an Individual contributor. Bachelor of Science or Master of Science degree or equivalent experience relevant to functional area. 1 to 2 years of System Administration / software engineering or related experience.


Qualifications in the following areas:
System Administration for Linux and Windows servers.
Linux and Windows system tools.
Shell scripting.
Backup and recovery of servers.
Kubernetes Setup and Configuration.
Jenkins Setup and Configuration.
Marathon, Mesos and Eremetic Setup and Configuration.
Ansible Scripting
Security Certificates / RSA security keys management.
Linux Certification.
JIRA Usage
System tools analysis.
Database Administration (Oracle)
Understanding of how applications utilize Compute Resources
Strong communications skills.
Experience in customer support.
Strong troubleshooting skills.
Strong research skills in the investigation of system tools.
Must enjoy interfacing and working directly with people.



Detailed Description and Job Requirements

Define, design, and implement network communications and solutions within a fast-paced, leading edge database/applications company.



Perform performance trend analysis and manage the server/network capacity. React to potential problems using automation, scheduling, and monitoring tools - escalating to management where appropriate. Participate in configuration and implement technical solutions to enhance and/or troubleshoot the system. Responsible for support documentation as well.



Duties and tasks are standard with some variation. Completes own role largely independently within defined policies and procedures. 2-4 years of related experience in a medium to large network distributed and computing environment. BS in Computer Science or related field.



Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law.



Job: Information Technology
Location: MX-MX,Mexico-Guadalajara/Zapopan
Job Type: Regular Employee Hire
Organization: Oracle"
"1605323667-2951","https://mx.indeed.com/jobs?q=database+developer&l=M%C3%A9xico&fromage=14","","","Software Engineer (Ruby) (Backend)","https://mx.indeed.com/rc/clk?jk=c321fec7e7e0eee3&fccid=832d8bb5a5200c6f&vjs=3","Praxent","What Would You Like to Change?



An industry?



Everyday, clients arrive at our doorstep with big ideas for their industry. They're experts in their field with the vision and resources you need to change everything. All that's left is the right team to bring that vision to life. If you're a fast learner and you love working on a wide variety of projects, you're going to like it here.



What about the way you work?



At Praxent, we let you do your work your way. Our role is to encourage you, support you, and give you the freedom you need to thrive. Whether you're working at home, in a coffee shop, or heck, even your car, we're here to create an environment that lets you live your best life. On your terms.



What about who you work with?



Our hiring philosophy is simple: hire good people who are great at their craft. Give them fun problems to solve. Trust them be their best. It's a level of autonomy and respect that's helped us grow a diverse and brilliant team of experts. Experts who also happen to be some of the best colleagues you've ever worked alongside. At Praxent, we care about our clients, and we care about each other too.



How about your career?



Now that you know a little about us, we'd love to hear more about you. If you're passionate about learning new things and the position below sounds like you, you should definitely apply.



It might be time to change jobs. Maybe even an industry or two.



Who You Are

An enthusiastic and hungry developer, capable of implementing changes at all layers of the software stack including database, services, and user interfaces.





You care about implementing polished web experiences across multiple form factors.


You have implemented whole features while working with an architect or senior developer.


You have estimated work before, and can reasonably judge the complexity of a feature


You have delivered work to production in an agile development team.


You are energized by the fact that client needs might change and that the backlog will evolve.


You're comfortable suggesting alternative modes of implementation if you think it will provide a better customer and client experience.


You thrive when you are providing development services within constraints.


You continuously seek to improve the world around you.



What You'll Do



Write high quality, functioning, performant and enduring code.


Work on agile-scrum project teams to deliver software features and enhancements.


Work alongside developers, testers, designers and product managers develop, debug, and test software for completeness, accuracy and integrity.


Perform root-cause analysis to identify and define elegant solutions to software and business problems.


Collaborate within and between teams to identify, define and document non-functional requirements.


Build your skill-set in a collaborative, team-focused environment.



We'd Love To Hear From You If



Bachelor's degree in related discipline or 2-4 years of relevant experience.


5+ years experience in software engineering.


5+ years experience in building Ruby on Rails applications including RESTful APIs.


3+ years experience writing complex SQL queries in MySQL / PostgreSQL.


Comfortable on Linux/Unix command line


MacOS proficiency required


Experience with web tooling and automation (e.g. Git, Gulp, NPM, Bower, etc.).


DevOps/sysOps, advanced understanding of object oriented and MVC principles., strong understanding of software development life-cycle and best practices preferred.


Previous agency experience and experience working in software teams with Agile, Scrum, and Kanban methodologies preferred.



What You'll Love About Us



Work stays at work. We promote a healthy work/life balance to help ensure you have the time that you need. We encourage no more than a 40 hour work week.


Great company culture. We've been recognized by Texas Monthly, Clutch, Comparably, and more for the quality of our workplace. Feel free to check out our rating on Glassdoor.


We're here to enable you. It's your work and your career. Our management team is here to help you become who you want to be. Not to micromanage you.


We value your ideas. At Praxent, our doors are always open. Need help? Come on in. Have a vision for the future of the company? We'd love to hear it.





Rest and relaxation. You'll get 12 days of paid time off after your first three months; we also observe your country of residence holiday schedule.


Professional development. Want to continue your education? Praxent pays for classes, conferences, and more.


You're more than an employee, you're a person. Every co-worker you'll meet is committed to treating you with respect and kindness. You'll never hear stuff like, ""It's just business.""



If Praxent sounds like the place for you, we'd love to have you. Write which core value of ours you resonate with most."
"1605323860-2960","https://mx.indeed.com/jobs?q=database+developer&l=M%C3%A9xico&fromage=14","5","https://mx.indeed.com/jobs?q=database+developer&l=M%C3%A9xico&fromage=14&start=40","Senior Full Stack Engineer","https://mx.indeed.com/rc/clk?jk=1e87d8f75472e72f&fccid=4110ab46f2e18776&vjs=3","Digital On Us","Who are DigitalOnUs?

 At DigitalOnUs, we not only provide Agile and DevOps methodologies to our customers, we have adopted the same within the company as well. Our nimble processes are not mired in red tape, yet robust, flexible and result-oriented. We are Software Engineers, Technical Architects, Cloud and DevOps specialists. But the most important, we are dreamers, creators and challengers. Each day, we strive to make great come alive. Our lemma: ""work smart and play hard""

Our technology partners are Hashicorp, Cloudbees, Chef, Pagerduty, Docker and SAP.

We are always looking for the brightest candidates to come and we offer a work environment with everything you need to be your best. Does Ambition, Success, Fun, Friends & Learning define your idea of a career? Join us and be part of our family!

 We're looking for a Senior Full Stack Engineer.

Qualifications we are looking for:

Strong experience with JavaScript y React
Experience with Node.js
Usage of redux, hooks or any kind of state management library is cool
Databases experience: Mongo, MySQL or Postgress
Experience with Mongo and Postgres is a big plus.
Python experience is a plus.

Job Duties

Contribute with the design of new features, enhancements and support of a fin-tech application responsible of detecting and preventing financial crimes for an industry-leading worldwide company.

 Why you will love this job?

You will use the latest versions of the biggest frameworks
You can raise your hand and put over the table new frameworks, languages and technologies that can increase the quality of the development.
You will have the opportunity to work with excellent senior developers



What you can expect from us

At DigitalOnUs, what distinguishes us from other teams is the comfortable environment which engenders trust within teams and with our customers. Trust and openness leads to quality, innovation, commitment to deliverables, efficiency and cost-effectiveness for all our customers.

Work with some truly remarkable IT engineers, architects, specialists and more.
We're growing at a phenomenal pace and we'd like some company.
Hear your voice, nurture your talent and help you strengthen your foot print!
Benefits above the law
Mentorship, and opportunities to grow and learn"
"1605323478-2940","https://mx.indeed.com/jobs?q=database+developer&l=M%C3%A9xico&fromage=14","","","Tecnico de programacion (IT)","https://mx.indeed.com/rc/clk?jk=2be889990fada999&fccid=8d390ab1843cb8bd&vjs=3","Aptiv","Moving mobility forward
We are Aptiv – a new technology company with a proven history of enabling mobility. Operating as Delphi, we pioneered advances in the industry. Now, as Aptiv, we’re more dedicated than ever to bringing the next generation of autonomous vehicles, smart cities and connectivity to life.
Join our innovative team
Want to do more than just imagine the ways our world will move tomorrow? Here’s your opportunity. Join the technology company that’s transforming the future of mobility today.
About Aptiv
Aptiv is an advanced technology company with a proven history of enabling mobility. We’re dedicated to bringing the next generation of autonomous vehicles, smart cities and connectivity to life. Aptiv.com
Major Job Responsibilities:
Software developer with database connections (SQL) under the Visual studio .Net platform (#sharp, vbnet)
Maintain and create the necessary platforms for improvements to the engineering systems
Support for applications developed under vb6, mobile applications
Major Job Qualifications:
Bachelor degree on computer Engineer
Good communication skills
IT Service
Delivery
Liderazgo
Privacy Notice - Active Candidates: https://www.aptiv.com/privacy-notice-active-candidates
Aptiv is an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, gender identity, sexual orientation, disability status, protected veteran status or any other characteristic protected by law."
