web-scraper-order,web-scraper-start-url,pages,pages-href,titulo,titulo-href,empresa,descripcion
"1605326199-3103","https://mx.indeed.com/jobs?q=Desarrollador+de+base+de+datos&l=M%C3%A9xico&fromage=14","4","https://mx.indeed.com/jobs?q=Desarrollador+de+base+de+datos&l=M%C3%A9xico&fromage=14&start=30","Desarrollador (a) Oracle SAS","https://mx.indeed.com/company/Beyserin/jobs/Desarrollador-oracle-SAS-1262529132c408e1?fccid=660225f9276bb3f9&vjs=3","Beyserin","""Empresa de origen mexicano con presencia en México y Colombia de servicios integrales de Consultoría TI, de Negocios y Staffing"" Se encuentra en búsqueda de: Desarrollador (a) Oracle SASMínimo 3 a 5 años de experiencia.Licenciaturas en Ciencias, Matemática, Actuaría y en Sistemas Computacionales, especialistas en programación en Oracle, SAS o ambas.Manejo de Bases de Datos y ETLs.Experiencia en Servicios Financieros, áreas de Mercadotecnia, CRM, Riesgos, Data Scientist.Indispensable experiencia en base de datos SQL, Oracle, SAS.Experiencia en áreas de modelado de datos, reporteo, minería de datos, o análísis de datos.Capacidad de adaptación y negociación autoaprendizaje y productividad.Zona a laborar: Santa Fé, CDMXTipo de puesto: Tiempo completoTrabajar desde casa:Sí, temporalmente debido a la COVID-19"
"1605325529-3054","https://mx.indeed.com/jobs?q=Desarrollador+de+base+de+datos&l=M%C3%A9xico&fromage=14","7","https://mx.indeed.com/jobs?q=Desarrollador+de+base+de+datos&l=M%C3%A9xico&fromage=14&start=60","Desarrollador Móvil IOS","https://mx.indeed.com/company/Growth-Partners-Up/jobs/Desarrollador-m%C3%B3vil-ios-71d9e932ef832225?fccid=6ab3d072478fd07a&vjs=3","Growth Partners Up","Importante empresa de desarrollo Web busca talento:Licenciatura o ingeniería en Sistemas de Cómputo, ciencias de la computación, informática o tecnologías.3 años de experiencia en:Conocimiento en metodologías ágiles.Experiencia integrando APIsBuen entendimiento en arquitectura de iOS:o MVCConocimientos en los siguientes lenguajes:
o Swift
o Objevtive C
o Cocoa Pods
o SourceTree
o POSTMAN
o SQL
o No SQLConocimientos en las siguientes herramientas:
o Gradle
o Ant
o maven
o UNIT Test
o Pttrns
o POP
o SKETCH
o Firebase
o TestFlight
o Crashlytics
o Firebase SuitResponsabilidades del Puesto:
1. Desarrollar aplicaciones móviles innovadoras de acuerdo con diversos
estándares internacionales y en los tiempos establecidos.
2. Seleccionar las herramientas adecuadas para el mejor desempeño de los
proyectos.
3. Dar solución a los bugs que se presentan en los desarrollos iOS.
4. Desarrollar aplicaciones con tecnología iOS.
5. Informar de los avances de los proyectos.
6. Medir y Planificar proyectos de Software.
7. Asesorar al equipo técnico y no técnico de las mejores prácticas de la
industria para cada proyecto iOS.
8. Garantizar la seguridad en todos sus procesos de desarrollo iOS.
9. Administrar la estructura de bases de datos para asegurar su funcionamiento,
seguridad e integridad.
10. Evaluar sistemas iOS nuevos y existentes.Tipo de puesto: Tiempo completo, IndefinidoSalario: $14,000.00 - $16,000.00 al mesTrabajar desde casa:No"
"1605325832-3078","https://mx.indeed.com/jobs?q=Desarrollador+de+base+de+datos&l=M%C3%A9xico&fromage=14","8","https://mx.indeed.com/jobs?q=Desarrollador+de+base+de+datos&l=M%C3%A9xico&fromage=14&start=70","Desarrollador IOS Senior","https://mx.indeed.com/company/SOLO-TALENTO-BY-RV-S.A.-DE-C.V./jobs/Desarrollador-ios-senior-e5e94fa9ab0adeb0?fccid=337d7b2b58f83b65&vjs=3","SOLO TALENTO BY RV S.A. DE C.V.","Requisitos: · Licenciatura en Sistemas, Informática, Programación o afín (PASANTE y/o TITULADO)· Experiencia de 2 a 3 años mínimo en: SWIFT UISWIFTCocoaXCodeFirebaseConocimiento en: Programación para IOSPersistencia de Datos Core Data, SQLite, etcManejo de tareas en BackgroundManejo de GeolocalizaciónHerramientas de VersionamientoDesarrollo de pantallas en base a UX/UIControl de notificaciones· Contar con: Inglés – intermedio/avanzadoOfrecemos: · $20,000.00 a $25,000.00 mensuales/netos (según aptitudes) · Prestaciones de Ley· Horario de L a V de 09:00 a.m. a 06:00 p.m. (Home Office y Oficina) · Oportunidad de crecimiento, estabilidad laboral y plan de carrera a mediano/largo plazoFunciones: · Desarrollo y diseño de módulos para aplicación en IOS· Integración en Backend en Firebase· Corrección de errores· Actualización y publicación de nuevas versiones*Zona para laborar: Del. Miguel Hidalgo (Polanco)Tipo de puesto: Tiempo completo, IndefinidoSalario: $20,000.00 - $25,000.00 al mesBeneficios:Días por enfermedadTrabajar desde casaTrabajar desde casa:Sí"
"1605325246-3032","https://mx.indeed.com/jobs?q=Desarrollador+de+base+de+datos&l=M%C3%A9xico&fromage=14","5","https://mx.indeed.com/jobs?q=Desarrollador+de+base+de+datos&l=M%C3%A9xico&fromage=14&start=40","Desarrollador Angular/ Angular Developer","https://mx.indeed.com/company/RHPUNTONET/jobs/Desarrollador-angular-5a74a939787fdb08?fccid=6a0e7e764ee062aa&vjs=3","RHpuntoNet","Hola, buen día estimada Red......RHpuntoNet Importante consultoría especializada en Tecnología e Información se encuentra en búsqueda deDesarrollador Angular/ Angular DeveloperEl proyecto será vía remota por COVID (posteriormente será en Monterrey)Periodo: Hasta Junio del 2021Dominio del nivel de inglés oral y escritoRequisitos: *Al menos 4 años en roles similares*
Skills:⦁ Conocimientos avanzados de programación en Java y Javascript
⦁ Conocimientos de programación en Angular
⦁ Conocimientos de Microservicios, Webservices, Springboot, Base de datos relacionales,HTML5, CCS3, GitHub, Bitbucket serán valoradas. Requerimientos Teorico-Metodologicos
⦁ Orientacion a objetos  * Metodologías ágiles - Conocimiento de herramientas relacionadas (Jira-Trello) serán valoradas Deseable
⦁ Conocimientos de Sonarqube, JUnit, Flash Requisitos Beneficios Detalles Área: Tecnología, Sistemas y Telecomunicaciones/ProgramaciónCorreo:rocio.abigail(arroba)rhpuntonet(punto)comTipo de puesto: Tiempo completo, TemporalHorario:Turno de 8 horas"
"1605326519-3130","https://mx.indeed.com/jobs?q=Desarrollador+de+base+de+datos&l=M%C3%A9xico&fromage=14","2","https://mx.indeed.com/jobs?q=Desarrollador+de+base+de+datos&l=M%C3%A9xico&fromage=14&start=10","Desarrollador Back end","https://mx.indeed.com/rc/clk?jk=d391268c42e09c57&fccid=bc5a549ba6c93e15&vjs=3","GLOBAL HUMAN SERVICES","Salario neto mensual:

$9,000.00
Ubicación:

Ciudad de México, Miguel Hidalgo -
Tipo de contrato:

Contrato por tiempo indeterminado
Vigencia de la oferta:

10 de diciembre de 2020
Días laborales:

L Ma Mi J V
Horario de trabajo:

9:00 a 19:00 hrs.
Rolar turnos:

No
Requisitos
Estudios Solicitados:
Licenciatura en Sistemas computacionales en hardware , diploma o certificado
Experiencia:
6m - 1 año
Competencias transversales:

Comunicación, Orientación al cliente, Trabajo en equipo, Visión, Planeación y organización, Sensibilización tecnológica, Creatividad
Idiomas:
Inglés-Básico
La empresa ofrece
Prestaciones:
Prestaciones de ley
Funciones y actividades a realizar
Desarrollo e implementación de software. generación de pruebas unitarias. análisis, diseño de bases de datos. desarrollo e implementación de procedimientos almacenados. actualización y mejora continua de las partes informativas y funcionales del sitio web. desarrollo de nuevos módulos. documentación técnica.
Observaciones
Sin comentarios"
"1605326497-3128","https://mx.indeed.com/jobs?q=Desarrollador+de+base+de+datos&l=M%C3%A9xico&fromage=14","2","https://mx.indeed.com/jobs?q=Desarrollador+de+base+de+datos&l=M%C3%A9xico&fromage=14&start=10","Desarrollador Tableau","https://mx.indeed.com/rc/clk?jk=36eb6d9907cad271&fccid=fb2e6c62758b62e1&vjs=3","Vanesa Salinas","Grupo CODA, empresa especializada en tecnologías de la información, en búsqueda de tu talento para formar parte de nuestro equipo de trabajo como:

 

“Desarrollador Tableau”
Requisitos:
Escolaridad: Licenciatura / Ingeniería en sistemas computacionales, informática o carrera a fin.
Experiencia:
Mínimo 2 años de experiencia en cargos afínes.
Conocimiento intermedio/avanzado en
Tableau Server
Tableau Reader
Tableu Online
Bases de Datos SQL, Oracle.
Conocimientos en Pyhton y Alteryx
Conocimiento intermedio/avanzado en el uso de Tableau Desktop Versión 2018.

 

Se ofrece:
Sueldo competitivo + PL.
Horarios de Lunes a Viernes de 9:00 am a 7:00 pm.
Zona a laborar: Tlalpan/CDMX.

 ¡Forma parte de nuestro equipo de trabajo!
Si estás interesado (a) y cubres con el perfil envía tu CV a nuestra dirección de correo electrónico o postúlate por este medio, nos comunicaremos contigo para darte más detalles."
"1605325060-3016","https://mx.indeed.com/jobs?q=Desarrollador+de+base+de+datos&l=M%C3%A9xico&fromage=14","","","Desarrollador WEB","https://mx.indeed.com/rc/clk?jk=3aa080d3abd919c6&fccid=b2d8c263b52a5ee5&vjs=3","XPERT HUNTERS MÉXICO","Esta vacante viene de la bolsa de empleo Talenteca.com


¿Conoces cómo se integra una API?


¿Tienes experiencia en integración y desarrollo de aplicaciones?


¿Sabes virtualizar?


Pero además de toda tu pasión por la tecnología,



te encanta el cuidado y convivencia con la naturaleza, éste es tu lugar.


CONSULTORIA ESPECIALIZADA EN TI


Busca:


DESARROLLADOR WEB


INFORMATICA o fin


Licenciatura / Ingenieria / TSU


Developer Laravel con experiencia mínima de 3 años en desarrollo de sitios web


** Integracion de Pasarelas de pago: Openpay, stripe,(indispensable) mercado gago.

PHP 7 en adelanteLaravel 7+MySQL 5.7+Modelado de Base de datos con MigracionesHTML 5GITConocimientos básicos de NGINX y/o ApacheUnix / LinuxConocimientos deseablesBootstrap


** indispensable saber documentar.


OFRECEMOS:

SMB: $17,000.00

PRESTACIONES DE LEY

DESAROLLO PROFESIONAL.

CRECIMIENTO

Esta vacante viene de la bolsa de empleo Talenteca.com: https://www.talenteca.com/mexico/empleo/benito-juarez/desarrollador-web/5fa84c7b5a0000238503066bt1?source=indeed"
"1605325905-3084","https://mx.indeed.com/jobs?q=Desarrollador+de+base+de+datos&l=M%C3%A9xico&fromage=14","8","https://mx.indeed.com/jobs?q=Desarrollador+de+base+de+datos&l=M%C3%A9xico&fromage=14&start=70","Desarrollador Sr Java","https://mx.indeed.com/company/E&M/jobs/Desarrollador-senior-java-f25f94304667c007?fccid=ba906886c873c286&vjs=3","E&M","Empresa dedicada al Sector de la Tecnología requiere Desarrollador Java Sr con las siguientes características:Licenciatura / Ingeniería en Sistemas  * Experiencia en programación en ambiente Java así como automatización y/o consolidación de aplicaciones manuales de al menos de 5 años.  * Conocimientos avanzados en programación en Java  * Manejo de Bases de Datos Oracle, Manejo de J2EE, Hibernate, Spring, JPA, Java script, Bootstrap 5, EJS, Handlebars.  * , Servidores de Aplicaciones: JBoss,  * Conocimiento básicos en sistemas operativos Unix y LinuxIndispensable haber trabajado con Mongo DB.Es indispensable tener disponibilidad de tiempo, trabajar bajo objetivos y tolerancia a la frustracion.Zona de trabajo; Polanco por torre de Pemex.Los interesados deberán tener disponibilidad inmediata y deberan colocar cual es su pretension económica..Fecha de inicio prevista: 16/11/2020Tipo de puesto: Tiempo completo, IndefinidoSalario: A partir de $30,000.00 al mesHorario:Horario flexibleExperiencia:Java y mongo: 5 años (Requisito mínimo)Trabajar desde casa:No"
"1605325551-3056","https://mx.indeed.com/jobs?q=Desarrollador+de+base+de+datos&l=M%C3%A9xico&fromage=14","7","https://mx.indeed.com/jobs?q=Desarrollador+de+base+de+datos&l=M%C3%A9xico&fromage=14&start=60","Desarrollador Web","https://mx.indeed.com/company/MCPA/jobs/Desarrollador-web-a61e3e3f1da81455?fccid=c27811374d9d084a&vjs=3","ZONA DE PRIVILEGIOS","Somos una empresa especializada en la implementación de software para aumentar la venta de las empresas a través de la retención de clientes, trabajamos para que las empresas tengan las mejores herramientas para construir su base de datos y generar la lealtad de sus clientes. La evolución del mercado nos lleva a implementar estrategias innovadoras para la retención de clientes y generación de valor agregado a cada uno de nuestros programas.Estamos solicitando desarrollador.Horario: Lunes a Viernes de 9am a 2pm y de 4pm a 7pmSábados: 9am a 2pmEscolaridad: - Buscamos Ingenieros o Licenciados en carreras afines a la Informática.- Sexo : Indistinto.- Edad : 25 años a 35 añosREQUISITOS
PHP:- Experiencia mínima comprobable 2 años.- Conocimientos en análisis, programación y mantenimiento de desarrollos web.- Conocimiento de desarrollo en PHP >= 5.- Conceptos solidos de programación orientada a objetos (INDISPENSABLE).- Patrones de diseño.- Conocimiento de desarrollo en tecnología Web: HTML 5, CSS 3, Javascript, JQuery.- Conocimiento de Bases de Datos relacionales: MySQL, SQL SERVER.- Conocimiento en realización de Web Services y/o API RESTful.DESEABLE PERO NO OBLIGATORIO:- Experiencia en flutter- Laravel Framework- Angular- Iniciativa y Autodirección.- Honestidad.- Comunicación efectiva.- Trabajar bajo presión.- Buena disposición y actitud de trabajo.- Propositivo.Tipo de puesto: Tiempo completo, Por contratoSalario: $15,000.00 al mesHorario:Turno de 8 horas"
"1605326331-3114","https://mx.indeed.com/jobs?q=Desarrollador+de+base+de+datos&l=M%C3%A9xico&fromage=14","3","https://mx.indeed.com/jobs?q=Desarrollador+de+base+de+datos&l=M%C3%A9xico&fromage=14&start=20","Desarrollador Back End","https://mx.indeed.com/rc/clk?jk=f1f2cc6e710f5a8d&fccid=2d475fd9958dca32&vjs=3","TENDENCYS INNOVATIONS","Salario neto mensual:

$25,000.00
Ubicación:

Nuevo León, Monterrey -
Tipo de contrato:

Contrato por tiempo indeterminado
Vigencia de la oferta:

4 de diciembre de 2020
Días laborales:

L Ma Mi J V
Horario de trabajo:

9:00 a 18:00 hrs.
Rolar turnos:

No
Requisitos
Estudios Solicitados:
T. superior universitario , Trunca
Experiencia:
1 - 2 años
Competencias transversales:

Trabajo en equipo, Compromiso con el aprendizaje permanente, Planeación y organización, Responsabilidad, Toma de decisiones/valoraciones
Idiomas:
No es requisito
La empresa ofrece
Prestaciones:
Prestaciones de ley
Funciones y actividades a realizar
Desarrollo de apis nodejs conocimiento de desarrollo e implementación de api rest manejo de base de datos mongo sql server mysql sql progres conocimientos en nodejs laravel codeigniter aws contenedores y microservicios experiencia en git
Observaciones
Sin comentarios"
