web-scraper-order,web-scraper-start-url,pages,pages-href,titulo,titulo-href,empresa,descripcion
"1605315833-2698","https://mx.indeed.com/jobs?q=Ingeniero+de+datos&l=M%C3%A9xico&fromage=14","17","https://mx.indeed.com/jobs?q=Ingeniero+de+datos&l=M%C3%A9xico&fromage=14&start=160","JEFE DE COMPRAS","https://mx.indeed.com/rc/clk?jk=3551a38e94541b61&fccid=8b96603121d4876f&vjs=3","LABORATORIOS PISA","Ubicación: TLAJOMULCO DE ZUÑIGA


1.- Principales responsabilidades del puesto
a) Supervisar y dar seguimiento a las actividades del área que aseguren la compra y entrega de insumos para cumplir los planes de fabricación en tiempo, calidad y costo., evitando ante todo falta de insumos.
b) Monitorear el inventario de insumos para eliminar riesgos de obsolescencia, caducidades bajas o cualquier riesgo de los insumos, manteniendo el nivel optimo de inventarios mediante el control y mejora continua.
c) Distribuir el trabajo de los compradores a su cargo y asegurar el cumplimiento a los indicadores de desempeño establecidos, en el marco de la cultura de la compañía.
d) Realizar las actividades referentes a la gestión del personal.
e) Conducir las actividades asociadas al Sistema de Calidad bajo un código de cumplimiento a las BPF


2.- Nivel educativo:
a) Áreas económico-administrativas, Ingenierías o afín.


3.- Experiencia:
a) Proceso de compras de materiales (insumos, materia prima, pedidos etc.) (obligatorio).
b) Evaluación y administración de proveedores.
c) Industria farmacéutica, alimentaria o cosmética.
d) Proyectos de abastecimiento.(deseable)


4.-Conocimientos:
a) Excel intermedio (Bases de datos, indicadores, tablas dinámicas, dashboards) (obligatorio).
b) Sistema ERP para gestión de compras (deseable SAP)


5.- Otros requisitos:
N/A


6.-Tipo de contrato
a) Permanente.


Los procesos de reclutamiento, evaluación, entrevista, selección y contratación de personal, son totalmente GRATUITOS en Grupo PiSA; nadie debe solicitarte pago alguno para participar en nuestros procesos de Reclutamiento y Selección.
Por favor reporta cualquier solicitud extraña en el proceso para ingresar a Grupo PiSA"
"1605315343-2675","https://mx.indeed.com/jobs?q=Ingeniero+de+datos&l=M%C3%A9xico&fromage=14","15","https://mx.indeed.com/jobs?q=Ingeniero+de+datos&l=M%C3%A9xico&fromage=14&start=140","Desarrollador de Software","https://mx.indeed.com/rc/clk?jk=a04ea88ab2c78479&fccid=942c4ec626ccb63b&vjs=3","Taltere, SA de CV","Ingeniero de Desarrollo de Software
Buscamos:
· Ing. Sistemas, Lic. en Informática o afín.
· Al menos 3 años habiendo colaborado en al menos tres proyectos exitosos de aplicaciones web empresariales.
· Inglés: Técnico, Lectura/escritura

Conocimientos Requeridos

· Dominio avanzado de al menos un lenguaje de programación.
· Dominio de SQL.
· Diseño y programación con bases de datos relacionales.
· Experiencia comprobable en proyectos de desarrollo de sistemas y soporte a clientes de los sistemas implementados.
· Desarrollo web mediante HTML 5, CSS3, AJAX y JavaScript.
· POO (Programación Orientada a Objetos)

Conocimientos Deseables.

· Experiencia en implementación profesional de sistemas empresariales.
· PROGRESS OpenEdge, PROGRESS RDBMS.
· Conocimiento de materia de procesos de Recursos Humanos y Nómina.

Principales Funciones:
· Documentación técnica y de usuario de sistemas desarrollados.
· Análisis y desarrollo de aplicaciones de software basadas en web
· Pruebas de desarrollo realizados.
· Soporte y mantenimiento de proyectos entregados

Ofrecemos:
· Sueldo base mensual entre $18,000 - $25,000 mensuales brutos con base a experiencia.
· Prestaciones de ley.
· Esquema 100% Nominal
· Contrato directo con la empresa y de planta.
· Zona de Trabajo: Col. Ladrón de Guevara, Guadalajara, Jalisco.

Para postularte, nos puedes hacer llegar tu currículum al correo gerardo(punto)cervantes(arroba)taltere(punto)com indicando en el asunto “ Ingeniero Desarrollo ”"
"1605314331-2612","https://mx.indeed.com/jobs?q=Ingeniero+de+datos&l=M%C3%A9xico&fromage=14","5","https://mx.indeed.com/jobs?q=Ingeniero+de+datos&l=M%C3%A9xico&fromage=14&start=40","Ingeniero en Sistemas - Desarrollo Web","https://mx.indeed.com/company/Impactum/jobs/Ingeniero-sistemas-26d1f646b2f85ff0?fccid=c7eacfb84c04102c&vjs=3","Impactum Agencia de Crecimiento","Sobre Nosotros Somos una agencia especializada en Inbound Marketing, ayudamos a las empresas a crecer con proyectos inbound de Marketing, Ventas y Servicio a clientes usando principalmente la plataforma de Hubspot.Creemos en el impacto de las personas y las empresas, somos una empresa con una cultura de trabajo y desarrollo personal y profesional de sus colaboradores. Tomamos decisiones en base a datos y trabajamos siempre buscando brindar valor a nuestros colaboradores, a la empresa y a nuestros clientes.¿Qué buscamos en un encargado de tecnología? En Impactum estamos buscando una persona que busque desarrollarse en el ámbito de la programación web como parte de nuestra agencia. Como agencia nos enfrentamos a retos diferentes todos los días y buscamos a alguien que no le tenga miedo a la incertidumbre y guste del aprendizaje continuo y la resolución de problemas. No buscamos un especialista o experto en una tecnología, buscamos alguien que se quiera desarrollar en el desarrollo web de manera integral.Responsibilities Administrar los servidores web de la empresa.Apoyar en la empresa en la creación de cuentas y soporte de estas.Instalación de sitios web en wordpress y migración de sitios entre servidores.Apoyar al equipo en integraciones avanzadas entre herramientas y sistemas.Apoyar al equipo en estilos CSS y efectos JS particulares en los sitios web.Integración entre sistemas (Webservice, API, Webhooks).Ser la cara tecnológica ante los clientes y apoyar a resolver sus dudas.Requisitos Mínimo un año de experiencia en desarrollo, agencias o proyectos personales.Conocimiento avanzado en HTML y CSSConocimiento básico o intermedio en Javascript y PHP.Experiencia en uso de APIs y manejo de bases de datos MySQL.Autodidacta con cursos o certificaciones onlineEnfocado al trabajo por resultadosNociones en metodologías ágiles y SCRUMBeneficios Bonos de productividadPlan de crecimiento y aumentos gradualesCapacitación continuaConcursos e incentivos constantesCultura de trabajo y ambiente inmejorableOficina pet friendlyDuración del contrato: 6 mesesHoras de medio tiempo: 40 por semanaTipo de puesto: Tiempo completo, Medio tiempo, Temporal, Por contratoHorario:Lunes a viernesTurno de 8 horasExperiencia:desarrollo, agencias o proyectos personales: 1 año (Requisito deseable)Trabajar desde casa:Sí, temporalmente debido a la COVID-19"
"1605314036-2586","https://mx.indeed.com/jobs?q=Ingeniero+de+datos&l=M%C3%A9xico&fromage=14","","","DATA ENGINEER","https://mx.indeed.com/company/Arcon-Data/jobs/Data-engineer-b6a7bb457feccde3?fccid=2557ac561d1d5a6b&vjs=3","ARKON DATA","Arkon Data es una compañía que desarrolla soluciones para resolver los problemas de datos más difíciles de las empresas. Contamos con una plataforma de democratización y gobierno de datos, una plataforma de operación de datos a gran escala, una plataforma de control de datos maestros y un cerebro analítico que relaciona los procesos de negocios con los datos para buscar el mayor valor de manera automática.El candidato ideal utilizará su pasión por el análisis y los datos para crear canales de datos e informes para garantizar que los usuarios finales tengan acceso confiable a sus datos. Buscamos personas capaces y con gusto por los desafíos.Nos encontramos en búsqueda de un(a) Sr. Data EngineerREQUISITOS: Licenciatura o maestría en ciencias de la computación, física, ingeniería, matemáticas u otros campos relacionados.EXPERIENCIA: 3 años en puesto similar.RESPONSABILIDADES: Participar en las pruebas de diseño de datosDiseño de herramientasExtractos de datos y hardwareINDISPENSABLE: Dominio en PythonDominio en DockerComprensión de LinuxUso de las bases de datos Oracle y PostgreSQLConocimientos sobre el procesamiento de datos distribuidosUsar KubeflowBENEFICIOS: Sueldo competitivo acorde a experiencia laboral + Prestaciones de Ley + Apoyo para capacitación y GimnasioZona de trabajo: Al sur de la Ciudad de MéxicoContratación directa por la empresa, no somos consultoríaInteresados postularse por este medio, se dará seguimiento de forma inmediata.Tipo de puesto: Tiempo completo, IndefinidoTipo de puesto: Tiempo completo, IndefinidoHorario:Turno de 8 horasTrabajar desde casa:Sí, temporalmente debido a la COVID-19"
"1605314068-2589","https://mx.indeed.com/jobs?q=Ingeniero+de+datos&l=M%C3%A9xico&fromage=14","","","Ingeniero de Base de datos","https://mx.indeed.com/rc/clk?jk=43d3964ad636128c&fccid=d11e7a150a95297d&vjs=3","Head Hunter","Esta vacante viene de la bolsa de empleo Talenteca.com


Ingeniero de Base de datos


Objetivo: Administrar, Desarrollar e Implementar el correcto funcionamiento de la base de datos.


Reto de la posición:


Realizar diseño, instalación, configuración y actualización de base de datos Postgres.

Coordinar y crea objetos de base de datos primarios Postregs

Coordinar y modificar la estructura de la base de datos según sea necesario.

Coordinar e inscribir usuarios y mantener la seguridad del sistema.

Mejorar continuamente los estándares, pautas y procedimientos de administración de base de datos Postgres.

Planificar, desarrollar e implementar procesos y procedimientos para respaldar y recuperar la información de la base de datos de Postgres .

Ayudar a los desarrolladores de aplicaciones con el Tuning de consulta a la base de datos.

Proporcionar una solución integral de problemas de la base de datos Postgres.


Competencias claves:


1 años como experiencia en base de datos (Postgres, Mongo DB, DB2)

Experiencia en metodología SCRUM

Ingles Intermedio

Experiencia en integración continua o pipelines de CI/CD

Experiencia en GIT.


Conocimiento Técnicos:


Experiencia en manejo de base de datos Postgres o Mongo DB Y DB2

Ingeniería en Sistemas o similares.


Te Ofrecemos:


Sueldo se tratará en entrevista on-line

La labor se realizará en Corporativo de Marca reconocida.

Prestaciones de ley y Paquete de prestaciones superiores.


Contacto


Head hunter Lic. Juan Manuel Cel y Whats App*


Jd_humanresources@*


Ubicación: Insurgentes Sur Col. Escandón cerca del Metrobús de la piedad.

Esta vacante viene de la bolsa de empleo Talenteca.com: https://www.talenteca.com/mexico/empleo/miguel-hidalgo/ingeniero-de-base-de-datos/5fa7579c4f00000668aa8977t4?source=indeed"
"1605314964-2657","https://mx.indeed.com/jobs?q=Ingeniero+de+datos&l=M%C3%A9xico&fromage=14","11","https://mx.indeed.com/jobs?q=Ingeniero+de+datos&l=M%C3%A9xico&fromage=14&start=100","Key User Logística*","https://mx.indeed.com/rc/clk?jk=168a8bb1202d0609&fccid=c1110a0ca575452c&vjs=3","DRÄXLMAIER Group","Modernos sistemas de arneses y exclusivos interiores de vehículos: el nombre DRÄXLMAIER representa innovaciones automotrices - Productos para resaltar la experiencia al conducir. Todos los días, aproximadamente 70.000 asociados en todo el mundo cooperan aportando su conocimiento, habilidades y su pasión automotriz hacia este objetivo. Personas, a quienes les gusta tomar responsabilidad, usar su creatividad y contribuir sus ideas hacia el éxito común. ¡Personas como tú!


Key User Logística*
Puesto ID:
Tipo de trabajo: Full time, Locación: Tepic


Objetivo de la posición
Apoyar el uso y desarrollo óptimos de los sistemas y procesos DSN


Actividades principales
Cooperar en la implementación de sistemas específicos por unidad en plantas de todo el mundo.
Recibir solicitudes de cambio y coordinar con los departamentos (por ejemplo, TI, etc.)
Acordar la transferencia de datos y la planificación del programa con los clientes, acuerde las fechas de entrega
Coordinar el procesamiento de pedidos especiales de plantas a clientes.
Reconocer las áreas débiles dentro de los sistemas compatibles
Planificar y realizar capacitaciones para varios sistemas DSN dentro de una unidad.
Admite varios sistemas DSN dentro de una unidad y actúa como persona de contacto
Recibir y manejar consultas / problemas difíciles, incluidos casos especiales (p. Ej., Asistencia en el sitio, suministro de sistemas,etc.)
Asegurar la configuración / gestión de datos maestros en sistemas DSN (por ejemplo, HOST, Optimain, AULA, etc.)
Crear informes completos (por ejemplo, evaluaciones, estadísticas, etc.)


Experiencia necesaria
Título universitario Licenciatura / Ingeniería/ administración de empresas/ Ingeniería industrial o afín.
Habilidades de IT, MS Office
Conceptos de cadena de suministros SCM
Administración de Inventarios
Herramientas Estadísticas
Inglés avanzado
Residir en lugares aledaños a Tepic"
"1605315030-2660","https://mx.indeed.com/jobs?q=Ingeniero+de+datos&l=M%C3%A9xico&fromage=14","13","https://mx.indeed.com/jobs?q=Ingeniero+de+datos&l=M%C3%A9xico&fromage=14&start=120","Analista de defectos- pintura automotriz","https://mx.indeed.com/rc/clk?jk=ab31a5b12aa02706&fccid=b8df555617879658&vjs=3","Ecolab","Como líder de la industria en tecnología del agua, estamos creciendo y necesitamos personas con talento como usted para ayudarnos a continuar protegiendo el recurso más vital del mundo.
En Ecolab estamos buscando un Analista de defectos para unirse al equipo líder en la industria. Si usted es un profesional apasionado que le gusta interactuar con los clientes y le gusta trabajar en un entorno autónomo y práctico, lo invitamos a aplicar. Se unirá a un equipo talentoso que apoya aplicaciones de tratamiento de agua para una variedad de industrias.
En esta posición tu objetivo principal será realizar auditorías en cada sistema y resolver las deficiencias de suciedad.
Lo que hay para ti:
La oportunidad de afrontar algunos de los retos más significativos del mundo, ayudar a los clientes a tener agua limpia, alimentos seguros, energía abundante y ambientes saludables
La capacidad de generar impacto y moldear tu carrera profesional en una compañía apasionada por el crecimiento
El soporte de una organización que cree que es vital incluir e involucrar una diversidad de personas, perspectivas e ideas para lograr el mejor resultado
Lo que harás:
Analizar defectos
Realizar el conteo de suciedad para cada sistema
Auditar cada sistema, incluidos e-coat, prime, esmalte y sellador
Auditar defectos por zona
Asistir en el desarrollo de mejores prácticas para la construcción y limpieza, calidad y proceso de materiales, equipos y mantenimiento
Elaborar presentaciones de resolución de problemas para ayudar a eliminar defectos
Entrenar a empleados junior en identificación de defectos y recolección de dato
Recopilar y analizar datos de recuento de partículas para ayudar a determinar la causa raíz de los defectos
Ayudar a encontrar, solucionar problemas y resolver problemas de suciedad
Detalles de la posición:
El candidato debe vivir en:

Cuautitlán Izcalli, Estado de México
Horario y turnos: Disponibilidad de horario
Requisitos indispensables:Ingeniería IndustrialExperiencia de 1 a 2 años en actividades similaresInglés Avanzado (INDISPENSABLE)Deseable: Experiencia en industria manufacturera/ Experiencia en industria automotriz
Our Commitment to Diversity and Inclusion
At Ecolab, we believe the best teams are diverse and inclusive, and we are on a journey to create a workplace where every associate can grow and achieve their best. We are committed to fair and equal treatment of associates and applicants. We recruit, hire, promote, transfer and provide opportunities for advancement on the basis of individual qualifications and job performance. In all matters affecting employment, compensation, benefits, working conditions, and opportunities for advancement, we will not discriminate against any associate or applicant for employment because of race, religion, color, creed, national origin, citizenship status, sex, sexual orientation, gender identity and expressions, genetic information, marital status, age, disability, or status as a covered veteran.
In addition, we are committed to furthering the principles of Equal Employment Opportunity (EEO) through Affirmative Action (AA). Our goal is to fully utilize minority, female, disabled and covered veteran individuals at all levels of the workforce. Ecolab is a place where you can grow your career, own your future and impact what matters."
"1605315063-2663","https://mx.indeed.com/jobs?q=Ingeniero+de+datos&l=M%C3%A9xico&fromage=14","13","https://mx.indeed.com/jobs?q=Ingeniero+de+datos&l=M%C3%A9xico&fromage=14&start=120","INGENIERO DE TELECOMUNICACIONES JR - RECIEN EGRESADOS","https://mx.indeed.com/company/TELSA-SOLUTIONS/jobs/Ingeniero-telecomunicaciones-junior-6bc67f12de776090?fccid=f65459fc7a65c54c&vjs=3","TELSA SOLUTIONS","EMPRESA LÍDER EN SU RAMO, POR EXPANSIÓN, BUSCA TÚ TALENTO“INGENIERO DE TELECOMUNICACIONES JR.”REQUERIMIENTOS:-Recién egresados de Ingeniería en Comunicaciones y Electrónica en el año 2020 (Titulados o en tramite de titulación) Radicando en GDL o con Disponibilidad para cambiar de Residencia.-Inglés Avanzado - ConversacionalEXPERIENCIA EN:- Sistemas de Comunicaciones, Redes de Datos, Protocolos de Señalización- Arquitectura 3G, 4G, 5G- Básicos de Linux y Java (Deseable)OFRECEMOS:-Sueldo según aptitudes y experiencia-Prestaciones Superiores a las de ley- Capacitación-Buen ambiente laboralINTERESADOS POSTULARSE POR ESTE MEDIO O MANDAR WHATSAPP AL 3318110906 CON LIC. SERGIO FERNANDEZ.Fecha de inicio prevista: 13/11/2020Tipo de puesto: Tiempo completo, IndefinidoSalario: $12,000.00 - $15,000.00 al mesUbicación:Guadalajara, Jal. (Requisito deseable)Trabajar desde casa:Sí, temporalmente debido a la COVID-19"
"1605314440-2621","https://mx.indeed.com/jobs?q=Ingeniero+de+datos&l=M%C3%A9xico&fromage=14","7","https://mx.indeed.com/jobs?q=Ingeniero+de+datos&l=M%C3%A9xico&fromage=14&start=60","""Developer AWS Backend""","https://mx.indeed.com/company/BrainUp-Systems/jobs/Developer-aws-backend-0b39323c6a797564?fccid=5300881a024ce244&vjs=3","BrainUp Systems","Developer AWS BackendSomos una Empresa Mexicana de consultoría en TI y nos dedicamos a la administración de proyectos en diferentes Estados de la República Mexicana con más de 20 años de experiencia. Únete a un excelente equipo de trabajo, NO QUEDES FUERA.Requisitos: · Escolaridad: Nivel de estudios Licenciatura en Ingeniería en sistemas o afín.· Sexo: indistinto· Edad: 28 años en adelante· Experiencia: 3 años en adelante liderando proyectos de desarrollo de software en Latinoamérica.Conocimientos: · Comprender los conceptos de almacenamiento de AWS (S3, Aurora)· Competencia con conjuntos de herramientas de CI / CD, Devops· experiencia en base de datos en SQL AWS Aurora· experiencia en base de datos en SQL My Sql· experiencia en base de datos en SQL Microsoft Sql Server· Amplia experiencia en NodeJS, C#, React o Angular, Funciones LambdasDeseable.· Conocimientos Lenguaje Perl· Conocimientos Servicios REST· Metodologías de trabajo Agile (SCRUM) y uso de Git (GitHub / GitLab)· Unit Test (Jest)Actividades que realizar: · Desarrollo de Microservicios sobre AWS, API (REST) con conexión a bases de datos· Experiencia en servicios web, sistemas distribuidos y aplicaciones escalables y de alta disponibilidad.Habilidades: · Compromiso.· Comunicación.· Adaptabilidad.· Habilidad de comunicación asertiva.· Orientado a resultados.· Proactivo.· Pasión por el trabajo· Solucionador de problemas.Ofrecemos: · Prestaciones de ley· Sueldo de acuerdo con experiencia· Excelente ambiente de trabajo· Horario de L- V 8:00 am a 17:00 pm· Home officeComunícate con Lic. Elizabeth Fuentes 55 30 36 81 40 para agendar entrevistaTipo de puesto: Tiempo completoSalario: $29,000.00 - $30,470.00 al mes"
"1605314025-2585","https://mx.indeed.com/jobs?q=Ingeniero+de+datos&l=M%C3%A9xico&fromage=14","","","Ingeniero de Datos / Desarrollador Python Jr","https://mx.indeed.com/company/kubo.financiero/jobs/Ingeniero-datos-867f30963349ad3c?fccid=30e69bbfbfb4631b&vjs=3","kubo.financiero","KUBO FINANCIERO¡¡ESTAMOS EN CRECIMIENTO Y BUSCAMOS TALENTO COMO EL TUYO!!Estamos en búsqueda de un INGENIERO DE DATOS / DESARROLLADOR PYTHON JRREQUISITOS: Licenciatura en ciencias computacionales o afinesExperiencia en Desarrollo de software y manejo de base de datos SQL, Python 2 o 3Deseable Manejo de procesos ETL, Jenkins, Apache Spark, R, Desarrollo de API’s Django, Bases de datos NoSQLALGUNAS DE TUS PRINCIPALES RESPONSABILIDADES: Reportes y bases de informaciónImplementar procesos que permitan extraer información de nuestras distintas bases de datos y consolidarlas en nuestro repositorio centralDesarrollar y mantener los sistemas y rutinas actualesRealizar el seguimiento y documentar las solicitudes de información que llegan al áreaApoyar a los científicos de datos en solución de dudas, implementación de librerías e identificación de posibles fallos en sus desarrollosOFRECEMOS: Salario baseHorario de Lunes a ViernesPrestaciones de LeyCrecimiento y desarrollo profesionalSi estás interesado comparte tu CV al correo mencionado y nos comunicaremos contigo.!Tipo de puesto: Tiempo completo, IndefinidoSalario: $20,000.00 - $23,000.00 al mesHorario:Lunes a viernesTurno de 8 horasExperiencia:Puesto Similar: 1 año (Requisito deseable)"
