web-scraper-order,web-scraper-start-url,pages,pages-href,titulo,titulo-href,empresa,descripcion
"1605313803-2574","https://mx.indeed.com/jobs?q=machine+learning&l=M%C3%A9xico&fromage=14","2","https://mx.indeed.com/jobs?q=machine+learning&l=M%C3%A9xico&fromage=14&start=10","Senior Data Engineer","https://mx.indeed.com/rc/clk?jk=c3eaeff7b6fd0f8a&fccid=69404b4fd1d4bb12&vjs=3","Kueski","Why Kueski?

""DO TECH SHARE WEALTH”


Kueski is a technology company that provides digital financial services to the underserved in Mexico.

The company uses advanced artificial intelligence and machine learning tools to conveniently

evaluate creditworthiness and disperse loans in a matter of seconds. The company is working to close

the “access to credit” gap by creating a digital financial ecosystem in a country where a large part of

the population does not have access to safe solutions that allow them to create a healthy credit

history.

Kueski is a startup with a presence in Silicon Valley and Guadalajara. Our investors: CrunchFund,

Core Ventures Group, Sobrato, and Ariel Poler are between the best in the World having invested in

companies such as Uber, Pinterest, FourSquare, Airbnb, and Square.



Benefits and Perks:
Stock Options.Major medical insuranceFlexible work time, including working from home.10 days of vacations. You decide when to take vacations. Hard work deserves a good rest.Breakfast, lunch, snacks… food 24 hours.Nap room. (For those moments of nap time).Developer-creative oriented workspace.Pantry Vouchers30 day Christmas Bonus.No dress code but PLEASE, come dressed!.Law benefits

This is a remote role. Candidates located in Mexico and anywhere in Latin America will be considered.

Objective:

Drive the architectural design, implementation plan, best practices, and testing plans for projects involving terabytes of data, which will serve as the foundation of advanced analytics and machine learning initiatives.

Goal of our team:

Transport data reliably across all our systems and users for analytical purposes.

Requirements of the position:

Strong programming skills with solid engineering foundations: coding practices, architectural and design skills.
Experience designing and implementing ETL processes, dealing with big volumes of data requiring distributed processing
Experience with NoSQL databases such as Apache HBase, MongoDB, Cassandra, etc.
Experience in data stream processing technologies including Kafka, Spark Streaming, etc.
Experience working with infrastructure as a code (AWS Cloudformation, Ansible, etc.)
Experience with RESTful API oriented design and service-oriented architectures

What you will be doing:

Working with state of the art data open source processing techniques: ELT, Batch, Streaming, Incremental Loads among others.
Build services which allow us to ingest and transform data among many layers of our architecture. No matter the size, format and speed we can tackle it.
Keep on learning the newest data processing technologies such as NoSQL, Orchestrators, Serverless, Autoscaling Clusters and many others.
Help strengthen our Data Management, Quality and Monitoring processes.
Work closely with other Engineers, Data Scientists, Product Owners and Managers, Analysts and nontechnical stakeholders to help them get access to reliable data

What you won’t be doing:

Using common ETL tools like Informatica, Talend, Pentaho, etc. We build our own systems.
Building, Deploying or maintaining Machine Learning Models or complex Feature Engineering. These tasks are handled by our Data Science and Machine Learning Engineer Teams.
Building and maintaining relational databases. We don’t handle transactional processing.
Directly managing people. While we work as a team you won’t have people reporting directly to you

You will need to be successful:

You have intellectual curiosity and the capacity to learn and implement new data architectures and leading edge technologies.
You thrive in dynamic, fast-paced, results-oriented teams
You believe in building great products and doing great work
You want to understand the big picture, to be held accountable and make a meaningful contribution with your work

Technical knowledge:

Python, Java or Scala proficiency
Solid experience with Spark
+3 years of experience with large-scale data engineering
Experience with cloud platforms & services
English: intermediate-advanced
Unit / functional / integration testing

Plus:

BS/MS/Ph.D. in Computer Science or equivalent
Statistical analysis and descriptive analytics"
"1605313571-2558","https://mx.indeed.com/jobs?q=machine+learning&l=M%C3%A9xico&fromage=14","4","https://mx.indeed.com/jobs?q=machine+learning&l=M%C3%A9xico&fromage=14&start=30","Software Developer 3","https://mx.indeed.com/rc/clk?jk=8db5ff562a8d299c&fccid=cd22d01053af7669&vjs=3","Oracle","Software Developer 3-20000WJQ



Applicants are required to read, write, and speak the following languages: English

Preferred Qualifications


Preferred Qualifications - Internal
The Cloud Solutions team is an integral part of the Oracle Communications Global Business Unit (CGBU). The CGBU provides highly available and highly scalable, 5-Nines telecommunications products in real and virtualized environments, used by the world’s leading telecom providers. The Cloud Solutions team supports the CGBU by providing on-premise standards based cloud labs and also contributes in the transformation to a SaaS based deployment model.


Position Description:


As part of the CGBU Cloud Solutions team, the candidate will be fluent in the following:


Linux system operations and administration
Openstack cloud installation, operation, and support
Networking for IPv4 and IPv6
Python and Bash scripting
Cloud native software development principles and tools including Docker, Containers and Kubernetes
CI/CD pipeline management
Agile development methodologies using Kanban and Srcum setup
Ability to work well with others in a geo-diverse team leveraging remote collaboration technologies
Excellent oral and written communication skills
A resourceful and innovative approach to technology and problem solving
Strong work ethic
High integrity
Tools : Jira, Confluence, Git, Zoom, Slack, Jenkins, Terraform, Chef, Ansible, ELK stack


Preferred Qualifications:


Awareness of current industry trends and standards for cloud deployments.
Hands-on setup of a cloud system and its hardware deployment.
Orchestration and automated configuration management.
Machine Learning and Data Analytics for log files


Summary of Qualifications:
A major in Computer Science, Computer Engineering with 5-8 years of experience, strong work ethic, and high integrity.



Detailed Description and Job Requirements

Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.



As a member of the software engineering division, you will assist in defining and developing software for tasks associated with the developing, debugging or designing of software applications or operating systems. Provide technical leadership to other software developers. Specify, design and implement modest changes to existing software architecture to meet changing needs.



Duties and tasks are varied and complex needing independent judgment. Fully competent in own area of expertise. May have project lead role and or supervise lower level personnel. BS or MS degree or equivalent experience relevant to functional area. 4 years of software engineering or related experience.



Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law.



Job: Product Development
Location: MX-MX,Mexico-Guadalajara/Zapopan
Job Type: Regular Employee Hire
Organization: Oracle"
"1605313285-2538","https://mx.indeed.com/jobs?q=machine+learning&l=M%C3%A9xico&fromage=14","","","Cloud Solutions Engineering Student","https://mx.indeed.com/rc/clk?jk=52ee96a9af7772f2&fccid=f1374be6a45f4b8a&vjs=3","Intel","Job Description


As a Cloud Solutions Engineering Student, you'll be responsible for but not limited to the following:
Characterize performance bottlenecks of Intel products across Cloud Service Provider workloads (HPC, OLTP, Machine learning inference)
Find optimization opportunities in the next Gen CPU Architecture
Deep dive into both hardware and software of CSP workloads to understand full system architecture and performance
Design and implement proxy workloads to emulate customer scenarios.


Qualifications


You must possess the below minimum qualifications to be initially considered for this position.
Experience listed below would be obtained through a combination of your school work/classes/research and/or relevant previous job and/or internship experiences.



Candidate must be pursuing a BS or higher degree in Computer Science, Electrical engineering, or related field.


Minimum Qualifications:
6+ months experience with:
Fundamentals in CPU architecture
C/C++ programming
Python programming
Inside this Business Group


The Data Center Group (DCG) is at the heart of Intel’s transformation from a PC company to a company that runs the cloud and billions of smart, connected computing devices. The data center is the underpinning for every data-driven service, from artificial intelligence to 5G to high-performance computing, and DCG delivers the products and technologies—spanning software, processors, storage, I/O, and networking solutions—that fuel cloud, communications, enterprise, and government data centers around the world."
"1605313296-2539","https://mx.indeed.com/jobs?q=machine+learning&l=M%C3%A9xico&fromage=14","","","Business Process Coordinator","https://mx.indeed.com/rc/clk?jk=aeafca240877f971&fccid=69404b4fd1d4bb12&vjs=3","Kueski","Why Kueski



""DO TECH SHARE WEALTH”


Kueski is a technology company that provides digital financial services to the underserved in Mexico.

The company uses advanced artificial intelligence and machine learning tools to conveniently

evaluate creditworthiness and disperse loans in a matter of seconds. The company is working to close

the “access to credit” gap by creating a digital financial ecosystem in a country where a large part of

the population does not have access to safe solutions that allow them to create a healthy credit

history.

Kueski is a startup with a presence in Silicon Valley and Guadalajara. Our investors: CrunchFund,

Core Ventures Group, Sobrato, and Ariel Poler are between the best in the World having invested in

companies such as Uber, Pinterest, FourSquare, Airbnb, and Square.

Benefits and Perks:


Stock Options.Major medical insurance & Flexible work time, including working from home.10 days of vacations. You decide when to take vacations. Hard work deserves a good rest.Breakfast, lunch, snacks… food 24 hours.Nap room. (For those moments of nap time).Developer-creative oriented workspace.Pantry Vouchers30 day Christmas Bonus.No dress code but PLEASE, come dressed!.Law benefits.

Objective:

This role will be responsible for leading the business process development in the organization. This means designing, modeling, implementing, monitoring and ensuring continuous improvement of our key processes. These improvements will increase benefit realization, value creation, and the achievement of results and outcomes.

This role is also responsible of generating documentation of existing processes and improvements, forecast expected results of process changes, analyze implemented changes and make further adjustments to workflows.

Why you:

Requirements of the position:

Advanced English
Bachelor’s Degree in industrial Engineering or equivalent.
Minimum 5 years’ experience working in business process positions, writing/formulating policy and procedure documentation.
Demonstrated experience in the development of policy, procedure, and forms documentation.
Formal Business Process certification and expertise using recognized methodologies.

Responsibilities.

Provide leadership to the business partners, providing direction and guidance in terms of business process implementation and improvement.
Lead the development of the business process modeling from Macro-processes down to sub-processes.
Ensure the business strategy is designed into the business processes.
Be an evangelist on the importance of process improvements to escale up the company.
Lead and implement the BCP of the company.
Coordinate with cross-functional teams to build the company business processes.
Facilitate process workshops in order to gather the input from the business on the business processes and roles and responsibilities. Document the business requirements, business process maps and definitions, and review the associated procedures and practices and perform cross functional reviews
Maintain and provide a framework for transformation and for continuous improvement plans on processes.
Develop and manage effective working relationships with business partners.
Develop and ensure adherence to business process reviews and approval procedures.
Work with the BDI team to align KPIs with the designed processes.
Interview subject matter experts, observe work processes, and collaborate with business leaders and staff to research and analyze information required for the development or update of procedures and forms documentation.
Support continuous improvement by providing a feedback system for improvements to business processes and periodic review by the business owners

You will need to be successful:

Strong understanding of the strategic role of the business process in enabling the company to achieve its business goals.
Good business process acumen.
Ability to inspire others and the desire to be seen as a trusted advisor.
Build Strong relationships with business partners.
Ability to negotiate with different stakeholders and build consensus.
Always looking for continuous improvement

Location:

Remote / Guadalajara, Jalisco

International/National relocation covered by Kueski.



By submitting your application clicking the &quot;Submit Application&quot; button, you are accepting our Privacy Notice, available on: https://kueski.com/politicas"
"1605313903-2584","https://mx.indeed.com/jobs?q=machine+learning&l=M%C3%A9xico&fromage=14","2","https://mx.indeed.com/jobs?q=machine+learning&l=M%C3%A9xico&fromage=14&start=10","Lead Data Engineer","https://mx.indeed.com/company/Luuna/jobs/Lead-data-engineer-7e516a6c19eeb1e1?fccid=2bc48c439a84746f&vjs=3","LUUNA","Luuna's vision is to be the most customer-focused Mexican brand. This is the mission that defines the culture of our company, the work environment and the people we hire.*
If you are a Data Engineer who has experience leading high-performance, data focused teams with innovative and challenging projects, if you have excellent coding skills, strong data modeling skills, a strong interest in data mining, machine learning and last but not least, great soft skills to lead and motivate specialized data teams, this position is for you.Your main tasks will be:You will lead a team of data/backend engineers, data scientists and business intelligence analysts from a technical standpoint. You should have past management experience of such profiles and feel comfortable having a conversation with each of them while leading their specialized efforts towards achieving business goals.You will partner with Business Area Leads, form, articulate and defend independent viewpoints while having the ability to seamlessly translate technical and business needs in both directions.You should especially master Python and SQL at a high level. A big part of our infrastructure is written in Python, and we use relational models for all our products (it is a good sign if you have a strong opinion on whether that is a good idea or not)Our dreamed candidate:5 years of experience as a Data Engineer.2 years leading a Data Team.Strong knowledge in Data Science best practices.Strong knowledge of Spark, Hive, Glue, Athena, Redshift and/or other big data frameworks and tools and their function within a data infrastructureSQL and Python are mandatory.Go or other backend language is a plus.Best Practices for Data Warehousing.Familiarity with CRM systems, Salesforce especially, a plus.Business English is mandatory.What do we offer?Salary according to experienceLaw BenefitsUpper Law Benefits:15 vacations days from the first year of employmentSpecial English Classes and Gym PricesBasic and Major Medical InsuranceLife Insurance*Tipo de puesto: Tiempo completo, IndefinidoSalario: $70,000.00 - $80,000.00 al mesHorario:Turno de 8 horasExperiencia:Data Science: 1 año (Requisito deseable)SQL: 2 años (Requisito deseable)Data Engineer: 5 años (Requisito deseable)Python: 2 años (Requisito deseable)Teamlead: 2 años (Requisito deseable)Trabajar desde casa:Sí, temporalmente debido a la COVID-19"
"1605313437-2551","https://mx.indeed.com/jobs?q=machine+learning&l=M%C3%A9xico&fromage=14","4","https://mx.indeed.com/jobs?q=machine+learning&l=M%C3%A9xico&fromage=14&start=30","Maintenance Technician","https://mx.indeed.com/rc/clk?jk=661b480a656f9e56&fccid=87f38351bd29de24&vjs=3","Eaton","Eaton’s Vehicels division is currently seeking a Maintenance Technician to join our team. This position is based at our Aguascalientes Engine Valves Finsa Park facility.

The Maintenance Technician is responsible for supporting facilities and equipment installation, maintenance, and repairs for the new site start-up and on-going operations. Provides advanced troubleshooting, repair and installation of electronic and electronic controlled equipment in a manufacturing environment.

Making what matters work at Eaton takes the passion of every employee around the world. We create an environment where creativity, invention and discovery become reality, each and every day. It’s where bold, bright professionals like you can reach your full potential—and where you can help us reach ours.

Some activities related with the position will be:

Performs mechanical, electrical, pneumatic and hydraulic repair work on plant equipment

Troubleshoots and repairs machine malfunctions and mechanical problems and electrical problems

Keeps work area clean and free of hazards – 5-S program

Performs preventive maintenance on plant equipment

Completes special projects as required – including design and repair work on material handling systems and other mechanical devices

Designs and fabricates parts to improve machine operation

Completes projects as directed (machine moves, modifications, installations, material handling, remodeling, work area, etc.)

Programs basic electronic control equipment.

Recommends changes for existing production equipment to improve product quality, equipment reliability and equipment productivity.

Documents electrical modifications to machine tools on associated electrical drawings.

Recommends modifications of electronic control equipment

Help train machine operators on operation of new control systems.

When we embrace the different ideas, perspectives and backgrounds that make each of us unique, we — as individuals and as a company — are stronger.



#DS-L1


Qualifications
Required (Basic) Qualifications:

High School diploma or equivalent
Knowledge of blueprint and process sheet reading

Knowledge of electrical and electronic systems

Proficient in pneumatic and hydraulic systems

Knowledge of programmable logic controls

Proficient in plumbing systems

Knowledge of CNC Machines

Welding skills
Preferred Qualifications:

+3yrs Maintenance and/or electrical experience

Associates degree in related field

Previous work experience in Tool and Die
Understands Statistical Process Control

Understanding of electronic circuitry

Working knowledge of heat treating and metallurgical principles

Working knowledge of steel types and ability to determine which are best in different plant applications

Demonstrated understanding of metal cutting, inserts, feeds, speeds, etc.
Position Success Criteria :

Travel may be required (<10-40%) – depending on project phase


We make what matters work. Everywhere you look—from the technology and machinery that surrounds us, to the critical services and infrastructure that we depend on every day—you’ll find one thing in common. It all relies on power. That’s why Eaton is dedicated to improving people’s lives and the environment with power management technologies that are more reliable, efficient, safe and sustainable. Because this is what matters. We are confident we can deliver on this promise because of the attributes that our employees embody. We’re ethical, passionate, accountable, efficient, transparent and we’re committed to learning. These values enable us to tackle some of the toughest challenges on the planet, never losing sight of what matters.
Job: Manufacturing & Operations


Region: Latin America

Organization: VEH NAA North America Auto


Job Level: Individual Contributor

Schedule: Full-time

Is remote work (i.e. working from home or another Eaton facility) allowed for this position?: No

Does this position offer relocation?: Relocation from within hiring country only

Travel: Yes, 10 % of the Time"
"1605313601-2560","https://mx.indeed.com/jobs?q=machine+learning&l=M%C3%A9xico&fromage=14","3","https://mx.indeed.com/jobs?q=machine+learning&l=M%C3%A9xico&fromage=14&start=20","ADAS Algorithm Development Engineer","https://mx.indeed.com/rc/clk?jk=4140f4969fcf5f18&fccid=12aa2da60fa1c62f&vjs=3","Continental AG","Tasks

The Sensing and Driving Functions Algorithm Engineer will be responsible for the design, development, and maintainance of features in radar, camera, fusion, and/or vehicle control systems. He/she will actively work with internal and external engineering teams to bring high-quality products into production.



Additional Responsibilities:


Develop embedded sensor algorithms to meet product requirements
Utilize advanced data analysis techniques to provide insight and inspire future development
Maintain correspondence with multiple engineering teams, both internal and external.
Maintain a thorough understanding of customer and product requirements
Follow Continental's Material Life Cycle development process, including code, requirements, and test result reviews

Qualifications



Basic Qualifications:


Effective communication in English (TOEIC 700+)
BS degree in related engineering field: Computer Science, Physics, or Mathematics
Strong ability to solve problems in logic, mathematics, and dynamics
Proficient at implementing algorithms with C/C++ programming
Skilled at analyzing large sets of data using Python/Matlab
Experience developing complex software
Solid knowledge developing prediction, tracking, and classification algorithms for computer vision, machine learning etc
Willingness to work on different sensor products, and serve many different roles to fill department needs

Preferred Qualifications:


Fluent communication in English (TOEIC 900+)
M.S./Ph.D. degree in related engineering field: Computer Science, Physics, or Mathematics
Expert ability to solve problems in logic, mathematics, and dynamics
Experience developing automotive software is a plus
Development experience with radar and camera sensors and algorithms
Self-motivated, with an ability to work within a team or autonomously

Benefits



Reisekostenzulage



Kantine



Flexible Arbeitszeiten



Gehaltsbonus



Gesundheitsvorsorge



Lebensversicherung



Karriereberatung und Trainingsangebot



Mitarbeiter werben Mitarbeiter



About us

The Autonomous Mobility and Safety Business Area integrates safety technologies and controls vehicle dynamics to ensure safe and comfortable driving. The objective is to implement ""Vision Zero"", the vision of accident-free driving. Autonomous Mobility and Safety's components and system capabilities are prerequisites for autonomous mobility.



Keyfacts

Job-ID

160775BR

Function

Engineering

Nice to know



Continentals Spezialisten aus unterschiedlichen Disziplinen treiben den Trend des Automatisierten Fahrens mit aller Innovationskraft voran.



App. w. professional exp."
"1605313396-2548","https://mx.indeed.com/jobs?q=machine+learning&l=M%C3%A9xico&fromage=14","","","Data Scientist","https://mx.indeed.com/company/iProcess-Solutions-Inc/jobs/Data-scientist-b8739fcd0533b6f5?fccid=6459d45b9b280b1a&vjs=3","iProcess Solutions Inc","Marketing Analytics LeadThis is a full-time contractor role based in Mexico, providing support for
Marketing Data Sciences Group at a 500 Fortune company in USA.. The applicant would be required to analyze large volumes of data, derive KPIs, measure campaign performance and build executive reports/dashboards in Datorama. The individual will be responsible for troubleshooting issues stemming from digital marketing campaign performance reports. The individual will be expected to work with various corporate data assets, be proficient in data cleansing analysis and visualization, utilize multiple tools, work across multiple teams to help solve marketing decision problems.Education and Experience: BS in computer science, engineering, statistics or math5+ years in related fieldKnowledge and Skills: Strong knowledge of marketing principles, practices, tactics and tools preferredProficiency in data, data visualization and reporting in digital marketing domainIn-depth knowledge of relational database, big data platforms, statistical software and machine learning algorithms packagesDatorama or similar advanced reporting tool like Tableau experience required. If noDatorama experience, then the candidate should be confident to learn Datorama quickly and deliver.Knowledge of Google or other ad platformsKnowledge of Python or any programming languageHands-on experience in SQL required. Should be able to handle large amounts of data(loading, cleansing and analysis)Self motivated with strong problem-solving skills and ability to work independently requiredGood English written/oral communications skillsAbility to interface effectively with management teamJob Type: ContractPay: $2,500.00 - $3,000.00 per monthBenefits:Paid time offSchedule:Flexible shiftCOVID-19 considerations:
Job is completely remoteWork Remotely:Yes"
"1605313467-2554","https://mx.indeed.com/jobs?q=machine+learning&l=M%C3%A9xico&fromage=14","4","https://mx.indeed.com/jobs?q=machine+learning&l=M%C3%A9xico&fromage=14&start=30","Credit Risk Analytics Lead","https://mx.indeed.com/rc/clk?jk=6bab4c624f8d7e19&fccid=69404b4fd1d4bb12&vjs=3","Kueski","Why Kueski



""DO TECH SHARE WEALTH”


Kueski is a technology company that provides digital financial services to the underserved in Mexico.

The company uses advanced artificial intelligence and machine learning tools to conveniently

evaluate creditworthiness and disperse loans in a matter of seconds. The company is working to close

the “access to credit” gap by creating a digital financial ecosystem in a country where a large part of

the population does not have access to safe solutions that allow them to create a healthy credit

history.

Kueski is a startup with a presence in Silicon Valley and Guadalajara. Our investors: CrunchFund,

Core Ventures Group, Sobrato, and Ariel Poler are between the best in the World having invested in

companies such as Uber, Pinterest, FourSquare, Airbnb, and Square.

Benefits and Perks:


Stock Options.Major medical insurance & Flexible work time, including working from home.10 days of vacations. You decide when to take vacations. Hard work deserves a good rest.Breakfast, lunch, snacks… food 24 hours.Nap room. (For those moments of nap time).Developer-creative oriented workspace.Pantry Vouchers30 day Christmas Bonus.No dress code but PLEASE, come dressed!.Law benefits.

Objective:

Accountable for defining, implementing and tracking credit risk strategies aligned to risk appetite and business targets on profitability and growth.

Analyze credit portfolio quality in order to identify opportunities or concerns, and appropriate actions to mitigate bad rate while maintaining customer experience, Franchise Value and growth expectations.

Why you:

Requirements of the position:

4+ years of experience in the Financial industry, mainly focused on Consumer Lending and Risk on analytical areas.
Proven experience defining, implementing and tracking risk strategies including both underwriting and line management assessments, such as: approve/decline decision, line amount assignment, increase/decrease line amount, risk based pricing, etc.
1+ years leading analytical teams is desired.
Bachelor’s degree and desirable master or specialized studios in finance or analytical areas.

Responsabilities:

Responsibilities.

Usual:

Build detailed analysis in order to understand in depth the credit behavior, keep key stakeholders informed about risk performance, and ensure that relevant concerns are timely escalated.
Identify material matters related to credit risk, propose follow-up actions and ensure the appropriate deployment of mitigating actions required and track results.
Define and update risk methodologies to forecast credit risk performance useful on decision making based on forward looking perspective.

Periodic:

Propose risk strategies focused on acceptance criteria and loan specifications (such as amount, interest rate or tenure), in order to meet or exceed performance and behavioral expectations in terms of delinquency rates, growth and profitability.

Occasional:

Collaborate on discovery, evaluation and deployment of analytical tools, including relevant data sources, model building, infrastructure and decision engines.



You will need to be successful:

Keep informed about best practices in the industry in order to optimize risk strategies and loss rate mitigation capabilities.
Build analysis and proposals including: economic results, customer experience and business sense.
Keep connected and collaborate with other Risk areas and across the organization, with a special focus on Product, BDI, Data Science and Collections teams.

Location:

Remote / Guadalajara, Jalisco

International/National relocation covered by Kueski.



By submitting your application clicking the &quot;Submit Application&quot; button, you are accepting our Privacy Notice, available on: https://kueski.com/politicas"
"1605313726-2568","https://mx.indeed.com/jobs?q=machine+learning&l=M%C3%A9xico&fromage=14","3","https://mx.indeed.com/jobs?q=machine+learning&l=M%C3%A9xico&fromage=14&start=20","Technical Program Manager, LATAM","https://mx.indeed.com/rc/clk?jk=1ecb471cfe1fdc0c&fccid=eca8608f9f563439&vjs=3","Stripe","Publicada 12 de noviembre de 2020

Technical Program Manager, LATAM

Stripe

Mexico City, CDMX, México Full Time

Tecnologías De La Información

Software Engineering

Escolaridad

Ingeniería

Experiencia

5-7 años

Nivel del puesto

Engineer, Manager



In LATAM, the team is responsible for ensuring Stripe’s products best fit the unique needs of each country. You’ll get to work with engineers in the region to build delightful features that span various parts of the system, as well as working with our business, sales and operations teams to understand and solve our users’ pain points.



As a technical program manager, you will be responsible for leading complex in-market initiatives, working across a multitude of functions at Stripe: launching new markets and payment methods, ensuring compliance with our regulatory and partner requirements, operationalizing licenses and developing new processes to improve compliance and fraud rates. As an active contributor to Stripe’s global strategy, your impact is felt across the company. You will identify alignment gaps across Stripe’s product portfolio and spend a significant proportion of your time developing the capabilities of the team as a whole.



As a TPM on the LATAM team, you will lead cross-functional initiatives to develop and bring-to-market tools & infrastructure to help Latin American entrepreneurs start and grow their businesses. This includes bringing Stripe’s existing capabilities to all of Latin America, and developing new products to meet the specific needs of Latin American entrepreneurs and businesses. You’ll be helping to mentor engineering and product managers to maintain scalable organizational processes, and help communicate across a rapidly growing organization.



You will:

Drive functional and technical delivery of key team-, org-, and company-wide initiatives.

Collaborate with engineering teams to design, scope, and shepherd features.

Create functional specs, project / release plans, and roadmaps.

Own and execute multiple infrastructure software engineering programs simultaneously.

Help drive product decisions to align with higher company initiatives.

Help influence peers / managers and build consensus while dealing with ambiguity.

Guide and manage the usage of agile methodologies to simplify project delivery.



You may be a fit for this role if you have:

5+ years of software engineering, systems engineering or technical product/program management experience.

Fluency and strong communication skills in either Spanish or Portuguese.

Experience operating autonomously and leading across multiple teams, with stakeholders in different disciplines across time zones.

Consistent track record of shipping products with broad customer impact.

Strong customer service focus, with the ability to communicate and build relationships with highly technical management teams.

Strong analytic and project management skills.

Demonstrated ability to identify and resolve systemic issues.

Interpersonal skills to build relationships, and collaborate with diverse cross-functional teams.



It’s not expected that any single candidate would have expertise across all of these areas—we’re looking for candidates that are particularly strong in at least one area, and have some interest and capabilities in the others.



What’s it like to work at Stripe?



Stripe is helping the internet fulfil its potential as a platform for economic progress by building software tools that accelerate global economic access and technological development. Stripe makes it easy to start, run and scale an internet business from anywhere in the world.



Stripe is, at its heart, an engineering company. To provide a missing pillar of core internet infrastructure, we hire people with a broad set of technical skills (and from a wide variety of backgrounds) who are ready to take on some of the most challenging problems in the industry – from reliably handling 100M API requests per day, to building adaptive machine learning as a result of years of data science and infrastructure work, and enabling entrepreneurs worldwide to start a global internet business.



We look at Stripe as a constant work in progress and the same is true of our people; for all of us, we believe the best is yet to come. We’re here to support each other in our curiosity and creativity – which we pursue through thoughtful discussion and knowledge-sharing among a diverse set of peers and colleagues.



We encourage all engineers to transition teams once every year and a half and also take on short-term projects with other teams across Stripe. This enables engineers to learn how different parts of Stripe work while also establishing stronger ties and cross-pollination between groups.



We contribute to existing open-source projects and the people working on them, and we release several tools as open-source.



We want to work in a company of warm, inclusive people who treat their colleagues exceptionally well. The kind of people who are committed to going out of their way to help other Stripes in the short-term and pushing them to improve over the long-term (by helping them to get better at what they do).



We’re a highly cross-functional organization and view that as part of the fun: we design our space to encourage as much collaboration as possible. We have long tables in the kitchen for a reason (to enable everyone to meet new people and learn from them). We also have a culture of transparency that we carry through to email communication, ensuring that Stripes all around the world have the information they need to make good local decisions.



In both our products and our people, we aim to reflect, represent and advocate for all of our users, globally. Our users transcend geography, culture and language; what we share, collectively, is a drive to create a fairer, more economically interconnected world."
