titulo,empresa,descripcion
Desarrollador de Software sin Experiencia,Minsait,"Somos una de las principales empresas globales de tecnología y consultoría y el socio tecnológico global para los negocios clave de sus clientes en todo el mundo.A través de su unidad de negocio Minsait, Indra da respuesta a los retos que la transformación digital plantea a sus clientes, por medio de la oferta de resultados inmediatos y tangibles a empresas e instituciones.Minsait basa la fortaleza de su oferta comercial en su posición como una de las empresas líderes de la transformación digital.En éstos momentos estamos en búsqueda de Desarrolladores de Software.Requisitos: · Egresados titulados o en trámite de carreras como: Ing. en computación, ing. sistemas, ciencias de la computación o afín (truncos y estudiantes favor de abstenerse)· Conocimientos en Java, SQL, C#· Interesados en aprender Desarrollo de Software· Conocimiento avanzado de inglés (hablado y escrito)· Experiencia: No necesaria· Indispensable contar con las siguientes competencias:o Lógico, habilidades lógico matemáticas, enfocado en resolver problemas.o Independiente, autosuficiente en materia de aprendizaje.o Analíticoo Trabajo en equipoo Excelente actitudOfrecemos: · Contratación permanente con la compañía· Nomina 100% con prestaciones de ley y superiores· Capacitación continua· Retos laborales· CrecimientoInteresados favor de adjuntar su curriculum en formato personal con datos de contacto, no se tomarán en cuenta los CV´s en formato indeed.Tipo de puesto: Tiempo completo, IndefinidoHorario:Lunes a viernes"
REDACTOR DE PRODUCCIÓN EXP. EN TV,Grupo Milenio,"ESTAMOS EN BUSCA DE TU TALENTO COMO REDACTOR (EXPERIENCIA MÍNIMA 3 AÑOS).Contratación por HONORARIOS (postularse si cuentan con los requisitos solicitados)Actividades: -Redacción de notas-Capacidad de reporteo de nota informativa.-Búsqueda de datos periodísticos en tiempos breves.-Procesamiento en guiones y pautas.-Responsable de escribir todo lo conducente de contenidos periodísticos en formato televisivo.Requisitos: Licenciatura en periodismo, ciencias de la comunicación o afín (titulado)· Experiencia en redacción de noticias· Experiencia en televisión (preferentemente)· Excelente ortografía y redacción (requisito indispensable)· Trabajar bajo presión· Conocimiento en búsqueda de informaciónNos encontramos en la Colonia Centro, a un par de calles del metro Juárez.Interesados postularse por este medio o al correo: selene.lopez @milenio.com (quitar espacio)Tipo de puesto: Tiempo completo, IndefinidoTipo de puesto: Tiempo completo, IndefinidoSalario: $15,000.00 - $16,000.00 al mesExperiencia:TV: 3 años (Requisito deseable)"
Gerente de inteligencia comercial,"Besins Healthcare México, S.A. de C.V.","Puesto: Gerente de inteligencia comercialOfrecemos: Sueldo base mensual de $43,000.00Prestaciones superiores a leyEstabilidad LaboralEducación: Licenciatura en ciencias matemáticas o económicas administrativasExperiencia:Mínima de 2 años en la Industria Farmacéutica.- Indispensable tener enfoque comercial.- Indispensable contar con una trayectoria laboral integraConocimientos en: Inteligencia competitiva y vigilancia estratégica en la industria farmacéuticaDesarrollo de:- Análisis estadísticos- Investigación de mercados- Identificación de oportunidades de negociosPosicionamiento de slogan y mensajes clavesManejo de plataformas para medir la productividad CRM (SFnet)Diseño de sistemas de incentivos, premios y cálculoSegmentación y Targeting en los diferentes tipos de clientesHabilidades de presentaciónHabilidades de negociaciónImplementación y seguimiento objetivo KPI´sInglés avanzadoHerramientas de medición – auditorías y bases de datosVenta interna (facturación)MFP, ATV (valida las ventas y desplazamientos)InventariosClose Up / prescribersINTEPaquetería Office a nivel superior- Excel, Word, Power Point, OutlookAdministración- Planeación- Organización- Dirección- ControlManejo de herramientas digitales:- Microsoft Teams, Zoom, Google meet, Facetime, Go to webinar, Skype, etc- Redes sociales como: Facebook, Twitter, Instagram, Slideshare, LinkedIn, YouTube, almacenamiento en la nube, entre otros- Plataforma / Aplicaciones- Páginas webResponsabilidades: Identificar y priorizar de manera estratégica las cuestiones de mercado o negocio utilizando un riguroso análisis cuantitativo integrado que contemple información de categoría, consumidor y compradores.Proponer, coordinar y desarrollar investigaciones de mercado juntamente con el área de marketing y medicalDesarrollar y emitir scorecards, reportes y presentaciones mensuales; mostrando la evolución de las ventas por producto y por canal.Facilitar el análisis de la información de auditorías a la fuerza de ventasCoordinar la realización deuna plataforma de inteligencia comercial donde se concentren datos históricos y actuales que provean información valiosa para toda la organización de forma eficiente y minimizando tiempos.Coordinar y difundir la información de las diferentes auditorias que se adquierenCoordinar los ajustes al CRM de acuerdo a las necesidades de operaciónEmitir los lineamientos de la calidad de la información contenida en el CRMCalcular y comunicar los incentivos mensuales de toda la fuerza de ventasParticipar en las diferentes juntas de inicio de ciclo y nacionales de venta.Competencias: Búsqueda de informaciónCapacidad de análisisComunicación efectivaCompromisoPensamiento conceptualServicio de calidadSolución de problemasTrabajo en equipoTipo de puesto: Tiempo completo, IndefinidoSalario: A partir de $43,000.00 al mes"
Fraud Ops Analyst,Citibanamex,"Publicada 13 de noviembre de 2020

Fraud Ops Analyst

Citibanamex

Mexico City, CDMX, México Full Time

Prevención De Fraude

Ciencia De Datos

Escolaridad

Licenciatura terminada

Experiencia

1-3 años

Nivel del puesto

Analyst



The Fraud Ops Analyst 1 is an entry level position responsible for assisting in efforts to ensure fraud risk policy and controls are applied to minimize the impact of fraud incidence and prevent loss in coordination with the Fraud Operations team.The overall objective of this role is to assist in managing fraud losses by ensuring analysts make appropriate decisions using risk/reward balanace methodology.



Responsibilities:

Perform short and long term forecasting analysis and standardized fraud analysis

Make judgments based on practice and precedence, and work within guidelines, under general supervision

Develop and maintain working knowledge of business/industry standards and practices

Demonstrate fundamental understanding of how the team interacts with others in accomplishing the objectives of the area

Identify inconsistencies in data or results, and exchange information in a concise and logical way

Impact the business directly through the quality of the tasks/services provided

Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.



Qualifications:

Relevant experience in a related role

Knowledge and previous experience in the Investigation and Fraud claims process

Experience in trend analysis and alerts in early fraud detection

Extensive knowledge of the Bank's Transactional Processing platforms

Proficient in Microsoft Office and Access

Consistently demonstrates clear and concise written and verbal communication

Demonstrated ability to remain unbiased in a diverse working environment



Education:

Bachelor’s degree/University degree or equivalent experience



Education: Computer Systems, Information Management, Computer Science



Bachelor's Degree/Engineering



Experience and knwoledge:

Working knowledge in SAS/SQL programming.

Extensive knowledge in using MS Excel and MS office tools.

Knowledge in Python/PySpark/Hadoop/Tableu is preferable.

Hands-on knowledge on management information, reporting and data base creation and maintenance.

Skills in analytics, data quality and automation.

Highly ethical, with integrity and sense of responsability.

Effective verbal and written communication skills.

English (intermediate/advance). High advanced is desirable.



Main responsibilities:

Execute and monitor BAU processes.

Management information and reporting.

creation and maintenance of data bases.

ETL and Data Quality.

Design, develop and implement new processes and requirements.

Automation of current and new BAU processes."
UNODC- Asistente de Proyecto,UNDP,"Job Description





Agency



UN Office on Drugs & Crime




Title



UNODC- Asistente de Proyecto




Job ID



33518




Practice Area - Job Family

Management




Vacancy End Date



(Midnight New York, USA)







17/11/2020





Time Left



4d 13h 36m




Duty Station

Mexico City, Mexico




Education & Work Experience



G-Bachelor's Level Degree - 5 year(s) experience




Languages





Required:





Desired:



English, Spanish







Grade



SB3




Vacancy Type
Service Contract (SC)




Posting Type



External




Bureau
Latin America & the Caribbean









Contract Duration



6 meses (renovable con base en fondos disponibles y desempeño









Background



En 1996 el Gobierno de México y los Gobiernos de Centroamérica, a través de sus embajadas acreditadas en México, celebraron un Memorando de Entendimiento mediante el cual se comprometieron a trabajar en conjunto con UNODC, esto con el fin de enfrentar los problemas de drogas y delito de la región. El memorando fue el antecedente para que en el año de 2003 la UNODC y el Gobierno de México celebraran un Acuerdo Sede para el establecimiento de la Oficina Regional para México y Centroamérica, con el fin de coordinar y supervisar las actividades de UNODC en esta región. En este acuerdo, el Gobierno de México reconoce la personalidad jurídica de la Oficina en México, así como sus privilegios e inmunidades. En el 2008 se firmó un Acuerdo de Cooperación que fortaleció aún más las relaciones entre UNODC y el Gobierno de México, a través del cual se establecieron las modalidades de cooperación entre ambos.
El 15 de octubre del 2012 se firmó un nuevo Acuerdo entre el Gobierno de los Estados Unidos Mexicanos y las Naciones Unidas para generar una nueva forma de asociación y otorgar a la Oficina de UNODC en México funciones de una Oficina de Enlace y Partenariado, LPO por sus siglas en inglés. Esta nueva oficina desarrollará junto con el Estado mexicano operaciones y funciones de planificación estratégica, promoción de alianzas, Cooperación Sur-Sur, intercambio de información y conocimiento, así como análisis de tendencias. La fortalecida asociación entre México y la UNODC mantiene vigente el acuerdo de 2003.
Para más información, favor de consultar la página: http://www.unodc.org/


BREVE DESCRIPCIÓN DEL PROYECTO:
Con la finalidad de reducir la incidencia de la trata de personas en las comunidades indígenas de México y sus condiciones de vulnerabilidad frente a este delito, UNODC, en coordinación con Instituto Nacional de Pueblos Indígenas (INPI) implementará un proyecto en comunidades piloto de México con miras a prevenir y combatir la trata de personas.
El objetivo general es incrementar la sensibilización y el conocimiento de la trata de personas en las comunidades indígenas seleccionadas y dotar a la población de herramientas técnicas y de comunicación que les permitan detectar conductas de riesgo que eventualmente prevengan y detecten el delito. De igual forma, se espera que mediante la puesta en marcha de este proyecto se genere una mayor atención por parte de las autoridades federales frente a la situación de vulnerabilidad que estos grupos viven frente al delito de trata de personas. Las acciones a implementarse responderán a dos componentes:
Componente 1: un programa de capacitación para sensibilizar a grupos meta de comunidades indígenas sobre la trata de personas y dotarles del conocimiento para la detección y combate al delito.
Componente 2: una campaña de comunicación para prevenir el delito en una comunidad piloto de México.
OBJETIVO DEL PUESTO:
El objetivo general del puesto de asistente de proyecto consiste en apoyar la implementación de todas las actividades necesarias a fin de desarrollar y ejecutar el proyecto de manera exitosa y cumpliendo con todas las metas trazadas.


Duties and Responsibilities



TAREAS Y RESPONSABILIDADES:
Bajo la supervisión directa de la Coordinadora de Componente, el/la asistente tendrá las siguientes responsabilidades:
Trabajar en conjunto con la Coordinadora y el/la consultor/a de comunicación para desarrollar una campaña de prevención del delito de trata de personas en México;
Trabajar en conjunto con la Coordinadora para monitorear los productos de comunicación de la campaña de prevención de la trata de personas en comunidades indígenas de México, y asegurar que se entreguen en tiempo y forma;
Trabajar en conjunto con la Coordinadora y el/la consultor/a de capacitación para desarrollar un modelo de capacitación sobre el delito de trata de personas;
Trabajar en conjunto con la Coordinadora para monitorear los productos de capacitación, y asegurar que se entreguen en tiempo y forma;
Apoyar en la organización de mesas de discusión/reuniones/foros/talleres contemplados en el plan de trabajo del proyecto: aspectos logísticos, coordinación de tiempos, preparación de invitaciones, apoyo en la elaboración de agendas, selección de participantes y soporte administrativo;
Apoyar en la generación de agendas y documentación soporte para misiones de trabajo y eventos relacionados con el proyecto;
Participar activamente en las mesas de trabajo y reuniones para el desarrollo de la iniciativa y dar seguimiento a los acuerdos emanados de éstas;
Apoyar en la identificación de contrapartes clave en distintos sectores vinculados en temas como la prevención de la trata de personas y las comunidades indígenas;
Elaborar una base de datos de contrapartes y actores relevantes para la implementación del proyecto;
Contactar a las contrapartes clave identificadas para su involucramiento en la iniciativa;
Apoyar en la redacción de mensajes y productos de comunicación (folletos, infografías, scripts de radio y video, etc.) dirigidos a la población beneficiaria del proyecto conenfoque de género, interculturalidad y derechos humanos;
Apoyar en la elaboración de documentación relevante para el proyecto (informes, minutas, presentaciones, etc.);
Elaborar una base de datos de medios de comunicación en México e identificar aquellos que cubran de manera regular noticias relacionadas con la temática de la trata de personas;
Apoyar en la difusión de los materiales de comunicación desarrollados, así como en el seguimiento de la estrategia correspondiente;
Apoyar en la redacción de notas para la página web de UNODC sobre los eventos organizados en el marco del proyecto y otros según sea requerido por la Coordinadora de Enlace;
Mantener al día un registro físico y electrónico de las actividades del proyecto y su impacto;
Apoyar en la correcta utilización de los recursos del proyecto;
Apoyar en el monitoreo y procesos de evaluación;
Cualquier otra función asignada por la Coordinadora de Enlace e Implementación.
El trabajo implica el contacto y la interacción frecuentes con las siguientes contrapartes:
Funcionarios del Gobierno de México (Federal y Estatales);
Organizaciones de la sociedad civil;
Empresas;
Organismos internacionales y embajadas;
Medios de comunicación.
RESULTADOS ESPERADOS:
Apoyar para la efectiva implementación y seguimiento de las actividades realizadas en el marco del proyecto.
Mantener al día los archivos y documentos relacionados con la gestión del proyecto


Competencies




INTEGRIDAD - compromiso con los valores y principios de Naciones Unidas e integridad personal
COMPROMISO - con la visión, misión y metas estratégicas de la organización
SENSIBILIDAD - adaptabilidad sin prejuicios personales en cuanto a temas interculturales, de género, religión, raza, nacionalidad y edad
RESPETO A LA DIVERSIDAD - trabajar efectivamente con personas de cualquier raza, género, creencias, etc.
ENFOQUE DE RESULTADOS - orientado al cliente y responder efectivamente a la retroalimentación
TRABAJO EN EQUIPO - actitud proactiva y afinidad por un estilo de trabajo participativo, demostrando apertura al cambio y habilidad para manejar temas complejos.


Required Skills and Experience



Educación
Título académico en las áreas de relaciones internacionales, ciencias políticas o administración.
Dominio de programas informáticos básicos (Windows, Word, Excel, PowerPoint).
Posgrado en las áreas de comunicación será considerado una ventaja.
Experiencia laboral
Al menos dos años de experiencia laboral en organización de eventos para contrapartes gubernamentales, organizaciones de la sociedad civil u organismos internacionales.
Al menos dos años de experiencia laboral como asistente general.
Al menos un año de experiencia laboral en organismos internacionales o instituciones de gobierno.
Idiomas
Dominio del idioma español (nivel avanzado)
Dominio del idioma inglés (nivel proficiency) .
Otros conocimientos deseables
Familiaridad con las áreas del mandato de UNODC, especialmente aquellas relacionadas con la delincuencia organizada trasnacional.
Familiaridad con el contexto de la trata de personas en México y las instituciones gubernamentales y no gubernamentales involucradas en la prevención y persecución del delito.
Habilidades
Habilidad para planificar y organizar con eficiencia el trabajo;
Capacidad de análisis y síntesis;
Excelente nivel de comunicación oral y escrita.
OTROS:
Disponibilidad para viajar
CONDICIONES ESPECIALES:

en caso de renuncia o terminación de contrato, la persona contratada será responsable de hacer una entrega por escrito de la documentación bajo su cargo, así como una relación de asuntos pendientes y de compromisos institucionales, y sujeta a la normatividad de pnud méxico.
ser ciudadano/a mexicano/a en pleno ejercicio de sus derechos, o extranjero/a, cuya condición migratoria permita la función a desarrollar.
la duración inicial del contrato será de 6 meses con opción a ser renovado a partir de la evaluación de desempeño.
la plaza de la vacante está ubicada en la ciudad de México.


Disclaimer



Important applicant information
All posts in the SC categories are subject to local recruitment.
Applicant information about UNDP rosters
Note: UNDP reserves the right to select one or more candidates from this vacancy announcement. We may also retain applications and consider candidates applying to this post for other similar positions with UNDP at the same grade level and with similar job description, experience and educational requirements.
Scam warning
The United Nations does not charge any application, processing, training, interviewing, testing or other fee in connection with the application or recruitment process. Should you receive a solicitation for the payment of a fee, please disregard it. Furthermore, please note that emblems, logos, names and addresses are easily copied and reproduced. Therefore, you are advised to apply particular care when submitting personal information on the web."
PROGRAMADOR ESPECIALISTA EN ERP EPICOR,ZYR CONSULTINGP GROUP,"Descripción del empleoEmpresa de origen Alemán ubicada en Vallejo, CDMX, solicita para su equipo de trabajo, un PROGRAMADOR ESPECIALISTA EN EPICOR EPR para dar soporte a México, Estados Unidos, Australia y Brasil, de acuerdo a los siguientes requisitos y características:REQUISITOS: * Género: Indistinto* Excelente actitud* Buena presentación* Buen estado de salud* Orientación a resultados* Formalidad y cumplimiento de fechas de entrega* Escolaridad: (Deseable: Titulado). Licenciatura en Ciencias de la Computación, Tecnología de la Información; Licenciado en Informática; Ingeniero en Sistemas o campos estrechamente relacionados. (El título universitario puede sustituirse por experiencia laboral específica en Epicor ERP)* Bilingüe: Inglés avanzado para la perfecta comprensión y correcta comunicación oral y escrita* Total disponibilidad de horarioHABILIDADES: * Liderazgo* Análisis, síntesis y pensamiento crítico* Alto nivel de atención al detalle* Identificación y resolución de problemas complejos* Relaciones interpersonales* Excelente servicio al cliente* Trabajo en equipo y trabajo bajo presión* Flexibilidad* Comunicación efectivaEXPERIENCIA: * Conocimiento avanzado de Epicor ERP 9.05 y posteriores* Experiencia en la utilización de tableros BAQ, BAM y BPM* Experiencia con Crystal Reports y/o SSRS.* Experiencia en la compatibilidad con bases de datos de Microsoft SQL Server y SQL, trabajando con consultas SQL y SSIS* Experiencia en soporte de software/desarrollo de operaciones.* Experiencia con C# u otros lenguajes de scripting.* Conocimiento profundo del funcionamiento y el uso de computadoras personales y sus equipos periféricos.* Buen conocimiento del funcionamiento lógico de computadoras y dispositivos de comunicación de datos.* Conocimientos prácticos de redes, metodología de procesamiento de datos y técnicas en la creación de documentación y seguridad de datos.* Principios y procesos para la prestación de servicios al cliente, incluida la evaluación de las necesidades del cliente, el cumplimiento de los estándares de calidad de los servicios y la evaluación de la satisfacción del cliente.* Conocimiento de procedimientos y sistemas administrativos como procesamiento de textos, gestión de archivos y registros, diseño de formularios y bases de datos, y otros procedimientos de oficina.* Computadoras, computadoras portátiles, teléfonos inteligentes, teléfonos, fotocopiadoras e impresoras, herramientas básicas de reparación.OFRECEMOS: * Contratación directa por la compañía. Período de prueba con contrato temporal; después planta.* Salario $30,000 pesos mensuales nominales, con Prestaciones de Ley. Sueldo negociable de acuerdo a aptitudes y experiencia.* Trabajo de Lunes a Sábado: 9:00 am a 6:00 pmTipo de puesto: Tiempo completo, IndefinidoTipo de puesto: Tiempo completo, IndefinidoExperiencia:manejo y programación de EPICOR ERP: 3 años (Requisito deseable)Nivel de Inglés:Nivel alto de negocios (Requisito deseable)Trabajar desde casa:Sí"
GERENTE DE ANALÍTICA,Banorte,"Publicada 06 de noviembre de 2020

GERENTE DE ANALÍTICA

Banorte

Mexico City, CDMX, México Full Time

Ciencia De Datos

Escolaridad

Licenciatura terminada

Experiencia

3-5 años

Nivel del puesto

Manager



En Banorte buscamos talento único, fuerte y extraordinario, que impulse la transformación e innovación del país, convirtiéndonos en un gran aliado para crecer fuerte con México.



Estamos convencidos que la combinación de solidaridad, innovación, respeto, lealtad y responsabilidad es la fórmula perfecta para ser el mejor equipo del sector financiero.



Objetivo del puesto: Análisis de información para la selección de clientes y atributos que requiera cada campaña, así como el diseño de procesos que faciliten la generación y ejecución de éstas campañas.



Cada día te encontrarás ante nuevos e interesantes retos dentro de tu puesto, en los cuales serás responsable de:



Identificar oportunidades y problemas en la información y procesos a su cargo, y presentar los hallazgos a las diferentes áreas de negocio.

Diseño y mejora de procesos que faciliten la ejecución de información para campañas de venta cruzada

Explorar grandes conjuntos de datos para la selección de clientes y atributos que den sentido a los datos y números consultados.

Extracción de datos e información de filtros correspondientes a cada perfil de campaña

Mejora continua en los procesos asignados



Requisitos:

Formación profesional: Licenciatura en Matemáticas Aplicadas, Ingeniería en Sistemas, Actuaría o a fin (Titulado)

Años de experiencia: 3 años

Áreas de experiencia: Programación SQL, Extracción de Datos, Análisis de Datos, Generación de Reportes

Conocimientos requeridos: Programación SQL, Herramientas de Configuración de Campañas (CRM), SAS

Idiomas: Inglés Intermedio

Disponibilidad para viajar: No

Disponibilidad para cambio de residencia: No"
Responsable de Primera Entrevista Integral de Protección CBI,RET INTERNATIONAL,"En RET estamos comprometidos con el trabajo en contextos frágiles y situaciones de emergencia alrededor del mundo, para asegurar la protección y promover la resiliencia a través de la educación, estabilidad emocional, actividades productivas, bienestar y autonomía de la población.Actualmente RET desarrolla programas en la región para el fortalecimiento de sistemas educativos, en educación formal y no formal, educación en situaciones de emergencia, reducción del riesgo de desastres, orientación laboral/ocupacional para jóvenes, generación de ingresos, prevención de violencia, apoyo psicosocial promoviendo habilidades para la vida, capacitación a docentes, preparación de jóvenes para ingresar a la universidad y gestión para el desarrollo de política pública, principalmente, propiciando la participación activa de comunidades, con perspectiva de género y enfoque de derechos.Educación:  Título universitario preferiblemente en Trabajo Social, Psicología, Ciencias Sociales, Educación, Gestión de Proyectos o afines.Manejo de tecnología MS Office, especialmente Excel. Experiencia en el manejo de base de datos.Objetivo de la posición: Realizar entrevistas de registro y respaldar todas las actividades relacionadas con el registro, que también puede incluir funciones relacionadas con la recepción, archivo, gestión de datos, entrega de CBI, monitoreo de casos, entre otros.Acciones claves de desempeño: - Realizar entrevistas de registro de acuerdo con los SOP locales y las normas de registro.- Responder a las preguntas de los solicitantes de asilo y refugiados con respecto a los procedimientos de registro y sus derechos.- Mantener registros y datos precisos y actualizados relacionados con todos los casos de registro individuales.- Identificar a las personas con necesidades específicas y garantizar la referencia oportuna para el seguimiento de la protección según sea necesario.- Colaborar con el personal de protección.- Desarrollar la valoración socioeconómica de la población en entrevista inicial.- Abrir los expedientes de casos de acuerdo al procedimiento determinado.- Presentar al Comité Interdisciplinario los casos que requieren respuestas más complejas.- Seguimiento con el participante de los puntos establecidos en el Plan de Asistencia.- Activar el protocolo de reubicación interna (en caso de ser necesario).- Implementar estrategias de seguimiento y acompañamiento a la población de interés y, si necesario, incluyendo visitas domiciliarias.- Diseñar e implementar procesos informativos (en sala de espera) de acuerdo a las necesidades identificadas.- Garantizar la confidencialidad de la información del participante.- Realizar y presentar oportunamente los reportes solicitados según cronograma establecido y avances de acuerdo a las solicitudes de la coordinación general de CBI y de País.- Preparar y presentar los medios de verificación solicitados a nivel programático, que tengan relación con su responsabilidad.- Suministrar información relevante a la coordinación general de CBI y de País acordes con los intereses y la misión institucional.- Apoyar en los procesos de sistematización de experiencias y buenas prácticas en lo referente al componente, sus articulaciones internas y externas.- Mantener adecuada comunicación a nivel interno y externo.- En caso de activar un plan de emergencia (por ejemplo, la llegada de nuevas caravanas), realizar otras tareas relacionadas según sea necesario.Experiencia: - Preferentemente con experiencia aplicando cuestionarios/haciendo entrevistas y experiencia con la recolección de datos.- Preferentemente experiencia comprobable con población en situación de desplazamiento.- Conocimientos y habilidades en el uso de equipos y sistemas informáticos.Idiomas:  Excelente español. francés, portugués e inglés (valor agregado)Recepción de ofertas y documentos: 1. Recepción hasta 15/11/2020.2. Adjuntar:a. Hoja de vida, la cual debe incluir datos de contacto de los dos últimos lugares en que laboró.b. Carta de motivación y aspiración laboral.c. Cédula de identidad escaneada.Por favor adjuntar la aplicación completa (CV/hoja de vida, carta de motivación, referencias y expectativa salarial)  hasta el 15/11/2020. Solo se tendrán en cuenta las postulaciones que se ajusten a los términos de referencia. Fecha límite para postularse: 15/11/2020Fecha de inicio prevista: 17/11/2020Tipo de puesto: Tiempo completo, Temporal, Por contratoExperiencia:funciones similares: 1 año (Requisito deseable)"
BI & SFE Specialist,MSD,"Nuestra División de Salud Humana mantiene una ideología que consiste en “primero el paciente, los beneficios más tarde”. La organización está compuesta por ventas, marketing, acceso al mercado, análisis digitales y profesionales comerciales a los que les apasiona su papel de llevar nuestros medicamentos a nuestros clientes de todo el mundo.
Diseño de herramientas y procesos para el análisis crosfuncional de información de mercado e interna para la evaluación de desempeño de la fuerza de ventas, productos y mercados de competencia enfocado en mercados de alta especialidad y gobierno
Incorporación de nuevas fuentes de información e integración de fuentes tradicionales (auditorias, CRM, etc) y nuevos canales (Digital, Social media, Market research) para el diseño de nuevas métricas que permitan evaluar tendencias y comparar vs los objetivos y aspiraciones del negocio
Aseguramiento de Calidad en Procesos de Cuotas e Incentivos, análisis de métricas, identificación de áreas de oportunidad, propuestas de mejora continua
Diseño e implementación de soluciones de Analytics para soportar los procesos de marketing y ventas como Business Review y Marketing plan
Seguimiento, escalación y resolución de dudas y problemas de la fuerza de ventas con relación a lo anterior
Administración y Coordinación de proveedores de información y de procesamiento de datos, manejo de presupuestos, aseguramiento de calidad y SLA, etc
Asegurar la ejecución de los procesos operativos periódicos en manos de terceros (Xperbit, ZS, Knobloch, etc), dentro del SLA
Generación de Insigths para el negocio resultado de los procesos operativos periódicos para la identificación de áreas de oportunidad que el negocio pueda aprovechar para mejorar el desempeño de la fuerza de ventas, equipos comerciales y productos
Soporte y acompañamiento crosfuncional para el aprovechamiento sistemático de las fuentes de información disponibles en el área
Búsqueda de nuevas fuentes de información para los mercados estratégicos que permitan incrementar el entendimiento del ecosistema
Diseñar el modelo de soporte a la Fuerza de ventas para la comprensión de métricas de mercado, métricas de evaluación, planes de incentivos, asignación de cuotas, desempeño de territorio, etc
Generación de análisis de datos Adhoc para Marketing, Ventas y Comercial
Sistemas Computacionales, Ciencias de datos, Ingeniería de Procesos o afin
Experiencia en procesamiento de grandes volúmenes de datos, herramientas de BI y BigData
Conocimiento de la Industria Farmacéutica, Procesos de Fuerza de ventas
Deseable: Manejo de auditorías de ventas y recetas para la industria farmacéutica (PMM, ATV, MFPM, INTE, INEFAM, Close-up)
Manejo avanzado de Excel, herramientas de BI
Inglés Avanzado
Trabajar en equipo
Lo que buscamos…
En un mundo de rápida innovación, buscamos inventores valientes que deseen causar un impacto en todos los aspectos de nuestro negocio, permitiendo avances que afectarán a las generaciones venideras. Le animamos a que aporte su pensamiento inquieto, su espíritu de colaboración y su perspectiva diversa a nuestra organización. Juntos seguiremos Inventando para la vida, repercutiendo en las vidas a la vez que inspiramos su crecimiento profesional.
INVENT.
IMPACT.
INSPIRE.
Search Firm Representatives Please Read Carefully

Merck & Co., Inc., Kenilworth, NJ, USA, also known as Merck Sharp & Dohme Corp., Kenilworth, NJ, USA, does not accept unsolicited assistance from search firms for employment opportunities. All CVs / resumes submitted by search firms to any employee at our company without a valid written search agreement in place for this position will be deemed the sole property of our company. No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no pre-existing agreement is in place. Where agency agreements are in place, introductions are position specific. Please, no phone calls or emails.
Employee Status:
Regular
Relocation:
No relocation
VISA Sponsorship:
Travel Requirements:
Flexible Work Arrangements:
Shift:
Valid Driving License:
Hazardous Material(s):


Requisition ID:R81406"
Analista de TI,Comercializadora Hersak,"FORMA PARTE DE NUESTRO EQUIPO DE TRABAJOSomos una Importante comercializadora de Mármol, Cuarzo y Granito, comprometidos con la calidad y satisfacción de nuestros clientes, Únete a nuestro equipo!!Buscamos ""Analista de TI""Que tenga ganas de desarrollarse profesionalmente, adquiriendo responsabilidad en toda la organización brindando un servicio de calidad, cumpliendo objetivos que se establezcan por cada área de servicio.PERFIL: Escolaridad: Lic. en sistemas, ciencias de la computación o afínExperiencia: 1 a 2 añosConocimiento: Sistemas operativos para distintas plataformas, administración en base de datos, sistemas de comunicación, desarrollo en sistemas, metodologías de software y hardware, configuración de red, mantenimiento preventivo en PC's y lap tops, configuración e instalación a equipo de computo.FUNCIONES:Dar apoyo y soporte al usuario de manera remota o presencialCumplir con el programa de mantenimiento correctivos y preventivos a cada equipoSeguimiento a los equipos y problemáticas de los usuariosEjecución de respaldos y actualizaciones, dará mantenimiento a la información contenida en las bases de datos.Realizar inventario de equiposSoporte y mantenimiento a site con soporte a las cámaras de cada sucursalEstablecer comunicación con los proveedoresElaboración de reportes de estatus de equipo, reparaciones y será presentado a DirecciónODRECEMOS:Prestaciones de leyDesarrollo profesionalEstabilidad laboralLunes a Viernes de 9:00 a 18:00hrsPago quincenalFecha de inicio prevista: 1/12/2020Tipo de puesto: Tiempo completo, IndefinidoSalario: $1.00 - $2.00 al mesHorario:Turno de 8 horasExperiencia:sistemas operativos: 1 año (Requisito mínimo)Trabajar desde casa:No"
